Category	Bin1[800,1000]	Bin2[1000,1200]	Bin3[1200,1500]	Bin4[1500,1800]	Bin5[1800,8000]
BKG	870.9648	502.1300	344.5232	120.1918	87.0896
2000N100_Signal	0.0000	0.0063	0.0286	0.1361	1.0507
2000N100_S/sqrtB	0.0000	0.0003	0.0015	0.0124	0.1126
2000N1100_Signal	0.4255	1.0536	2.6576	2.6186	1.6258
2000N1100_S/sqrtB	0.0144	0.0470	0.1432	0.2389	0.1742
2000N1300_Signal	0.4456	1.0378	2.1369	2.3397	0.5850
2000N1300_S/sqrtB	0.0151	0.0463	0.1151	0.2134	0.0627
2000N1500_Signal	0.6027	1.1001	2.2314	1.2863	0.2845
2000N1500_S/sqrtB	0.0204	0.0491	0.1202	0.1173	0.0305
2000N1700_Signal	0.4219	0.8304	1.3575	0.6680	0.2485
2000N1700_S/sqrtB	0.0143	0.0371	0.0731	0.0609	0.0266
2000N1900_Signal	0.1363	0.1954	0.2665	0.1359	0.0593
2000N1900_S/sqrtB	0.0046	0.0087	0.0144	0.0124	0.0064
2000N300_Signal	0.0672	0.0000	0.1103	0.1080	0.1789
2000N300_S/sqrtB	0.0023	0.0000	0.0059	0.0098	0.0192
2000N500_Signal	0.1618	0.1146	0.3537	0.4894	2.2008
2000N500_S/sqrtB	0.0055	0.0051	0.0191	0.0446	0.2358
2000N700_Signal	0.3330	0.4992	0.6231	1.4018	4.2516
2000N700_S/sqrtB	0.0113	0.0223	0.0336	0.1279	0.4556
2000N900_Signal	0.2746	1.0086	1.8841	2.7647	3.0832
2000N900_S/sqrtB	0.0093	0.0450	0.1015	0.2522	0.3304
4000N100_Signal	0.0009	0.0000	0.0000	0.0000	0.0076
4000N100_S/sqrtB	0.0000	0.0000	0.0000	0.0000	0.0008
4000N1100_Signal	0.0020	0.0011	0.0031	0.0018	0.0329
4000N1100_S/sqrtB	0.0001	0.0001	0.0002	0.0002	0.0035
4000N1300_Signal	0.0007	0.0009	0.0020	0.0027	0.0290
4000N1300_S/sqrtB	0.0000	0.0000	0.0001	0.0002	0.0031
4000N1500_Signal	0.0003	0.0003	0.0014	0.0021	0.0175
4000N1500_S/sqrtB	0.0000	0.0000	0.0001	0.0002	0.0019
4000N1700_Signal	0.0000	0.0005	0.0016	0.0017	0.0199
4000N1700_S/sqrtB	0.0000	0.0000	0.0001	0.0002	0.0021
4000N1900_Signal	0.0000	0.0008	0.0027	0.0013	0.0185
4000N1900_S/sqrtB	0.0000	0.0000	0.0001	0.0001	0.0020
4000N2100_Signal	0.0004	0.0000	0.0010	0.0008	0.0104
4000N2100_S/sqrtB	0.0000	0.0000	0.0001	0.0001	0.0011
4000N2300_Signal	0.0005	0.0004	0.0014	0.0006	0.0125
4000N2300_S/sqrtB	0.0000	0.0000	0.0001	0.0001	0.0013
4000N2500_Signal	0.0003	0.0003	0.0005	0.0015	0.0097
4000N2500_S/sqrtB	0.0000	0.0000	0.0000	0.0001	0.0010
4000N2700_Signal	0.0003	0.0000	0.0012	0.0015	0.0076
4000N2700_S/sqrtB	0.0000	0.0000	0.0001	0.0001	0.0008
4000N2900_Signal	0.0000	0.0002	0.0006	0.0008	0.0091
4000N2900_S/sqrtB	0.0000	0.0000	0.0000	0.0001	0.0010
4000N300_Signal	0.0010	0.0000	0.0004	0.0001	0.0045
4000N300_S/sqrtB	0.0000	0.0000	0.0000	0.0000	0.0005
4000N3100_Signal	0.0002	0.0003	0.0004	0.0009	0.0069
4000N3100_S/sqrtB	0.0000	0.0000	0.0000	0.0001	0.0007
4000N3300_Signal	0.0002	0.0005	0.0006	0.0011	0.0055
4000N3300_S/sqrtB	0.0000	0.0000	0.0000	0.0001	0.0006
4000N3500_Signal	0.0002	0.0002	0.0008	0.0012	0.0050
4000N3500_S/sqrtB	0.0000	0.0000	0.0000	0.0001	0.0005
4000N3700_Signal	0.0001	0.0002	0.0007	0.0010	0.0038
4000N3700_S/sqrtB	0.0000	0.0000	0.0000	0.0001	0.0004
4000N3900_Signal	0.0001	0.0001	0.0002	0.0004	0.0013
4000N3900_S/sqrtB	0.0000	0.0000	0.0000	0.0000	0.0001
4000N500_Signal	0.0048	0.0010	0.0034	0.0020	0.0056
