bin	low	high	mc_total	mc_stat	data	DYJets	TT	Nonprompt	Others	WR2000N1100MM	WR4000N2100MM
1	800	1000	9.14258	0.50453	BLINDED	4.88558	2.80914	0	1.44787	0.122856	0
2	1000	1200	12.269	0.551768	BLINDED	7.28343	3.0008	0.240704	1.74411	0.742686	0.000760986
3	1200	1400	9.83485	0.433853	BLINDED	5.98872	2.17237	0.140687	1.53308	2.71752	0.00117468
4	1400	1600	7.54029	0.477101	BLINDED	4.70632	1.59267	0.365376	0.875929	11.3555	0.00279848
5	1600	2000	8.22825	0.342053	BLINDED	5.68943	1.286	0.0274788	1.22533	160.357	0.00811425
6	2000	2400	4.06918	0.223825	BLINDED	2.72872	0.922543	0.0154722	0.40245	80.582	0.0397435
7	2400	2800	2.14867	0.186724	BLINDED	1.39872	0.426657	0.0736001	0.249689	6.43938	0.0783663
8	2800	3200	0.85285	0.0751993	BLINDED	0.669487	0.0254784	8.45186e-05	0.157801	2.52166	0.196784
9	3200	8000	0.856419	0.0744999	BLINDED	0.73188	0.037727	0.0587605	0.0280521	1.32438	2.98079
