bin	low	high	mc_total	mc_stat	data	DYJets	TT	Nonprompt	Others	WR2000N1100MM	WR4000N2100MM
1	0	25	0	0	0	0	0	0	0	0	0
2	25	50	0	0	0	0	0	0	0	0	0
3	50	75	492.14	6.23722	498	454.555	18.1961	3.84548	15.5433	0.106906	0
4	75	100	16503.1	36.5324	16706	16060.4	36.3082	6.13933	400.252	0.558568	0.000244168
5	100	125	631.874	7.03882	643	595.049	16.6849	1.1665	18.9739	0.27962	0.000416727
6	125	150	0	0	0	0	0	0	0	0	0
7	150	175	0	0	0	0	0	0	0	0	0
8	175	200	0	0	0	0	0	0	0	0	0
9	200	225	0	0	0	0	0	0	0	0	0
10	225	250	0	0	0	0	0	0	0	0	0
11	250	275	0	0	0	0	0	0	0	0	0
12	275	300	0	0	0	0	0	0	0	0	0
13	300	325	0	0	0	0	0	0	0	0	0
14	325	350	0	0	0	0	0	0	0	0	0
15	350	375	0	0	0	0	0	0	0	0	0
16	375	400	0	0	0	0	0	0	0	0	0
17	400	425	0	0	0	0	0	0	0	0	0
18	425	450	0	0	0	0	0	0	0	0	0
19	450	475	0	0	0	0	0	0	0	0	0
20	475	500	0	0	0	0	0	0	0	0	0
21	500	525	0	0	0	0	0	0	0	0	0
22	525	550	0	0	0	0	0	0	0	0	0
23	550	575	0	0	0	0	0	0	0	0	0
24	575	600	0	0	0	0	0	0	0	0	0
25	600	625	0	0	0	0	0	0	0	0	0
26	625	650	0	0	0	0	0	0	0	0	0
27	650	675	0	0	0	0	0	0	0	0	0
28	675	700	0	0	0	0	0	0	0	0	0
29	700	725	0	0	0	0	0	0	0	0	0
30	725	750	0	0	0	0	0	0	0	0	0
31	750	775	0	0	0	0	0	0	0	0	0
32	775	800	0	0	0	0	0	0	0	0	0
33	800	825	0	0	0	0	0	0	0	0	0
34	825	850	0	0	0	0	0	0	0	0	0
35	850	875	0	0	0	0	0	0	0	0	0
36	875	900	0	0	0	0	0	0	0	0	0
37	900	925	0	0	0	0	0	0	0	0	0
38	925	950	0	0	0	0	0	0	0	0	0
39	950	975	0	0	0	0	0	0	0	0	0
40	975	1000	0	0	0	0	0	0	0	0	0
41	1000	1025	0	0	0	0	0	0	0	0	0
42	1025	1050	0	0	0	0	0	0	0	0	0
43	1050	1075	0	0	0	0	0	0	0	0	0
44	1075	1100	0	0	0	0	0	0	0	0	0
45	1100	1125	0	0	0	0	0	0	0	0	0
46	1125	1150	0	0	0	0	0	0	0	0	0
47	1150	1175	0	0	0	0	0	0	0	0	0
48	1175	1200	0	0	0	0	0	0	0	0	0
49	1200	1225	0	0	0	0	0	0	0	0	0
50	1225	1250	0	0	0	0	0	0	0	0	0
51	1250	1275	0	0	0	0	0	0	0	0	0
