bin	low	high	mc_total	mc_stat	data	DYJets	TT	Nonprompt	Others	WR2000N1100EE	WR4000N2100EE
1	0	5	9.9921	0.512139	34	8.07423	0.248269	0.514369	1.15524	1.92211	0.000757027
2	5	10	1.3643	0.212145	6	0.889405	0.117031	0.202681	0.155187	0.531077	0
3	10	15	0.673643	0.117682	0	0.55271	0	0	0.120932	0.192176	0
4	15	20	0.441329	0.105605	1	0.319036	0.0260353	0.0828814	0.0133766	0.0498142	0
5	20	25	0.617359	0.147232	0	0.365513	0	0.15381	0.0980362	0.243388	0
6	25	30	0.541154	0.153292	0	0.455643	0.08061	0	0.00490091	0.0993928	0.000271278
7	30	35	0.363986	0.0980283	2	0.324701	0	0	0.0392852	0.109802	0
8	35	40	0.373924	0.103341	0	0.290387	0.0104513	0.0539364	0.0191491	0.0915553	0
9	40	45	0.387734	0.12074	1	0.185309	0	0.155487	0.0469378	0	0
10	45	50	0.212423	0.0642064	0	0.203858	0	0	0.00856499	0.058432	0
11	50	55	0.39243	0.0988908	1	0.264281	0.056597	0	0.0715518	0.0959599	0
12	55	60	0.505066	0.141987	0	0.186196	0.12686	0.13301	0.0590002	0.0192386	0
13	60	65	0.551027	0.14742	3	0.175714	0.178753	0.0789835	0.117576	0.0632307	0
14	65	70	0.457219	0.151801	1	0.226858	0.147223	0.0681125	0.0150252	0.176717	0
15	70	75	0.38988	0.0891268	0	0.261573	0.0353309	0.0315419	0.0614342	0.0224766	0
16	75	80	0.31138	0.0821243	0	0.217364	0.0695853	0	0.0244309	0.00187985	0
17	80	85	0.493617	0.126135	1	0.258204	0.0870422	0.0539364	0.094435	0.129443	0
18	85	90	0.319672	0.0825206	2	0.224054	0	0.00594237	0.0896755	0.0697942	0
19	90	95	0.551677	0.138621	0	0.37909	0.0659722	0.078574	0.0280407	0.172818	0.000303676
20	95	100	0.704723	0.172441	0	0.333194	0.0441567	0.254455	0.0729179	0.0458078	0
21	100	105	0.576535	0.161595	0	0.44191	0.0261664	0.0384307	0.0700283	0	0
22	105	110	0.250418	0.0690633	0	0.188746	0.00659552	0	0.0550767	0.122873	0
23	110	115	0.325776	0.0835848	1	0.199109	0.0718126	0	0.0548551	0.044094	0
24	115	120	0.176711	0.0520046	1	0.1101	0.00471346	0	0.0618985	0.0418544	0
25	120	125	0.202983	0.0727986	0	0.137133	0.0185952	0.0461663	0.00108858	0	0
26	125	130	0.170564	0.069956	0	0.0969111	0.0627396	0	0.0109131	0.0116019	0
27	130	135	0.32362	0.0996687	0	0.25828	0.0224945	0	0.0428454	0	0
28	135	140	0.131204	0.052257	0	0.103463	0	0	0.0277412	0.0987448	0
29	140	145	0.0938949	0.0444447	0	0.0665798	0.0273151	0	0	0.0224766	0
30	145	150	0.113268	0.0479885	0	0.102601	0	7.92043e-05	0.010588	0.0287629	0
31	150	155	0.0244341	0.0061386	0	0.0238027	0	0	0.000631375	0.0568904	0
32	155	160	0.0944118	0.0550875	0	0.0672092	0	0	0.0272026	0.028079	0
33	160	165	0.0613014	0.0309896	0	0.0299174	0	0.00296711	0.0284169	0	0
34	165	170	0.051588	0.0301814	0	0.0503714	0	0	0.00121654	0.0528335	0
35	170	175	0.0578623	0.03261	0	0.044721	0	0	0.0131413	0.0363154	0
36	175	180	0.0694088	0.0507348	0	0.013295	0.0502185	0	0.00589529	0	0
37	180	185	-0.045686	0.0590338	0	0.0132173	-0.0589033	0	0	0.0419704	0
38	185	190	0.0674346	0.0390785	0	0.0109989	0	0	0.0564357	0.0315924	0
39	190	195	0.0186509	0.00494872	0	0.0186509	0	0	0	0.0283841	0
40	195	200	0.0626743	0.0339888	0	0.0215248	0	0.0087998	0.0323497	0	0
41	200	205	0.0108219	0.00375538	0	0.0108219	0	0	0	0.056953	0
42	205	210	0.014128	0.00435256	0	0.014128	0	0	0	0	0
43	210	215	0.00690626	0.0029171	0	0.00690626	0	0	0	0.00592795	0
44	215	220	0.031387	0.0251661	0	0.0068197	0	0	0.0245673	0.0283841	0
45	220	225	0.00753998	0.00330741	0	0.00753998	0	0	0	0.0307541	0
46	225	230	0.00175459	0.00155802	0	0.00175459	0	0	0	0.033981	0
47	230	235	0.0065123	0.00373086	0	0.0065123	0	0	0	0	0
48	235	240	0.0200534	0.0178626	0	0.00228138	0	0	0.017772	0	0
49	240	245	0.0036799	0.00236311	0	0.0036799	0	0	0	0.00592795	0
50	245	250	0.0596025	0.0351061	0	0.0596025	0	0	0	0.205829	0
51	250	255	0	0	0	0	0	0	0	0	0
52	255	260	0	0	0	0	0	0	0	0	0
53	260	265	0	0	0	0	0	0	0	0	0
54	265	270	0	0	0	0	0	0	0	0	0
55	270	275	0	0	0	0	0	0	0	0	0
56	275	280	0	0	0	0	0	0	0	0	0
57	280	285	0	0	0	0	0	0	0	0	0
58	285	290	0	0	0	0	0	0	0	0	0
59	290	295	0	0	0	0	0	0	0	0	0
60	295	300	0	0	0	0	0	0	0	0	0
61	300	305	0	0	0	0	0	0	0	0	0
62	305	310	0	0	0	0	0	0	0	0	0
63	310	315	0	0	0	0	0	0	0	0	0
64	315	320	0	0	0	0	0	0	0	0	0
65	320	325	0	0	0	0	0	0	0	0	0
66	325	330	0	0	0	0	0	0	0	0	0
67	330	335	0	0	0	0	0	0	0	0	0
68	335	340	0	0	0	0	0	0	0	0	0
69	340	345	0	0	0	0	0	0	0	0	0
70	345	350	0	0	0	0	0	0	0	0	0
71	350	355	0	0	0	0	0	0	0	0	0
72	355	360	0	0	0	0	0	0	0	0	0
73	360	365	0	0	0	0	0	0	0	0	0
74	365	370	0	0	0	0	0	0	0	0	0
75	370	375	0	0	0	0	0	0	0	0	0
76	375	380	0	0	0	0	0	0	0	0	0
77	380	385	0	0	0	0	0	0	0	0	0
78	385	390	0	0	0	0	0	0	0	0	0
79	390	395	0	0	0	0	0	0	0	0	0
80	395	400	0	0	0	0	0	0	0	0	0
81	400	405	0	0	0	0	0	0	0	0	0
82	405	410	0	0	0	0	0	0	0	0	0
83	410	415	0	0	0	0	0	0	0	0	0
84	415	420	0	0	0	0	0	0	0	0	0
85	420	425	0	0	0	0	0	0	0	0	0
86	425	430	0	0	0	0	0	0	0	0	0
87	430	435	0	0	0	0	0	0	0	0	0
88	435	440	0	0	0	0	0	0	0	0	0
89	440	445	0	0	0	0	0	0	0	0	0
90	445	450	0	0	0	0	0	0	0	0	0
91	450	455	0	0	0	0	0	0	0	0	0
92	455	460	0	0	0	0	0	0	0	0	0
93	460	465	0	0	0	0	0	0	0	0	0
94	465	470	0	0	0	0	0	0	0	0	0
95	470	475	0	0	0	0	0	0	0	0	0
96	475	480	0	0	0	0	0	0	0	0	0
97	480	485	0	0	0	0	0	0	0	0	0
98	485	490	0	0	0	0	0	0	0	0	0
99	490	495	0	0	0	0	0	0	0	0	0
100	495	500	0	0	0	0	0	0	0	0	0
101	500	505	0	0	0	0	0	0	0	0	0
102	505	510	0	0	0	0	0	0	0	0	0
103	510	515	0	0	0	0	0	0	0	0	0
104	515	520	0	0	0	0	0	0	0	0	0
105	520	525	0	0	0	0	0	0	0	0	0
106	525	530	0	0	0	0	0	0	0	0	0
107	530	535	0	0	0	0	0	0	0	0	0
108	535	540	0	0	0	0	0	0	0	0	0
109	540	545	0	0	0	0	0	0	0	0	0
110	545	550	0	0	0	0	0	0	0	0	0
111	550	555	0	0	0	0	0	0	0	0	0
112	555	560	0	0	0	0	0	0	0	0	0
113	560	565	0	0	0	0	0	0	0	0	0
114	565	570	0	0	0	0	0	0	0	0	0
115	570	575	0	0	0	0	0	0	0	0	0
116	575	580	0	0	0	0	0	0	0	0	0
117	580	585	0	0	0	0	0	0	0	0	0
118	585	590	0	0	0	0	0	0	0	0	0
119	590	595	0	0	0	0	0	0	0	0	0
120	595	600	0	0	0	0	0	0	0	0	0
