Category	Bin1[800,1000]	Bin2[1000,1200]	Bin3[1200,1500]	Bin4[1500,1800]	Bin5[1800,8000]
BKG	527.5372	305.2351	222.4216	94.8043	83.1469
2000N100_Signal	4.4624	6.1308	8.9920	12.0536	108.2171
2000N100_S/B	0.0085	0.0201	0.0404	0.1271	1.3015
2000N1100_Signal	10.4201	28.5492	137.3745	610.1946	1796.1950
2000N1100_S/B	0.0198	0.0935	0.6176	6.4364	21.6027
4000N100_Signal	0.2018	0.1485	0.1919	0.0996	0.3143
4000N100_S/B	0.0004	0.0005	0.0009	0.0011	0.0038
4000N2100_Signal	0.0057	0.0150	0.0612	0.1470	33.5474
4000N2100_S/B	0.0000	0.0000	0.0003	0.0016	0.4035
