Category	Bin1[800,1000]	Bin2[1000,1200]	Bin3[1200,1500]	Bin4[1500,1800]	Bin5[1800,8000]
BKG	440.6597	248.3403	174.6960	69.4704	58.8456
2000N100_Signal	1.6615	3.2630	3.4009	4.4903	38.2881
2000N100_S/B	0.0038	0.0131	0.0195	0.0646	0.6507
2000N1100_Signal	5.1666	12.1752	54.4053	234.4744	686.1563
2000N1100_S/B	0.0117	0.0490	0.3114	3.3752	11.6603
4000N100_Signal	0.0938	0.0644	0.0810	0.0306	0.1026
4000N100_S/B	0.0002	0.0003	0.0005	0.0004	0.0017
4000N2100_Signal	0.0021	0.0085	0.0289	0.0648	9.7245
4000N2100_S/B	0.0000	0.0000	0.0002	0.0009	0.1653
