Category	Bin1[800,1000]	Bin2[1000,1200]	Bin3[1200,1500]	Bin4[1500,1800]	Bin5[1800,8000]
BKG	27.2298	11.2672	7.0335	2.0644	2.1413
2000N100_Signal	7.4767	9.9896	22.0146	51.3919	787.4161
2000N100_S/B	0.2746	0.8866	3.1300	24.8944	367.7356
2000N1100_Signal	6.3493	11.3298	27.4831	24.4647	3.8459
2000N1100_S/B	0.2332	1.0056	3.9075	11.8508	1.7961
4000N100_Signal	0.2927	0.3148	0.4728	0.3832	2.5587
4000N100_S/B	0.0107	0.0279	0.0672	0.1856	1.1950
4000N2100_Signal	0.0056	0.0089	0.0359	0.0608	0.8561
4000N2100_S/B	0.0002	0.0008	0.0051	0.0295	0.3998
