Category	Bin1[800,1000]	Bin2[1000,1200]	Bin3[1200,1500]	Bin4[1500,1800]	Bin5[1800,8000]
BKG	0.0304	0.0179	0.0488	0.0075	0.0087
2000N100_Signal	0.0000	0.0000	0.0932	0.5196	4.4730
2000N100_S/B	0.0000	0.0000	1.9094	69.5374	512.2576
4000N100_Signal	0.0011	0.0002	0.0001	0.0022	0.6203
4000N100_S/B	0.0359	0.0122	0.0029	0.2940	71.0394
4000N2100_Signal	0.0000	0.0000	0.0000	0.0002	0.0023
4000N2100_S/B	0.0000	0.0000	0.0000	0.0224	0.2690
