Category	Bin1[800,1000]	Bin2[1000,1200]	Bin3[1200,1500]	Bin4[1500,1800]	Bin5[1800,8000]
BKG	6.5706	4.9955	4.6121	2.8062	2.7831
2000N100_Signal	1.8959	2.0127	3.5475	4.1377	37.0977
2000N100_S/B	0.2885	0.4029	0.7692	1.4745	13.3296
2000N1100_Signal	3.8778	11.5260	56.1264	240.5991	671.4277
2000N1100_S/B	0.5902	2.3073	12.1694	85.7398	241.2507
4000N100_Signal	0.0774	0.0527	0.0679	0.0433	0.0737
4000N100_S/B	0.0118	0.0105	0.0147	0.0154	0.0265
4000N2100_Signal	0.0027	0.0041	0.0168	0.0393	9.7997
4000N2100_S/B	0.0004	0.0008	0.0037	0.0140	3.5211
