Category	Bin1[800,1000]	Bin2[1000,1200]	Bin3[1200,1500]	Bin4[1500,1800]	Bin5[1800,8000]
BKG	13.3061	7.5214	7.3560	4.3344	3.6491
2000N100_Signal	0.5544	0.1799	0.9053	1.5925	14.6442
2000N100_S/B	0.0417	0.0239	0.1231	0.3674	4.0131
2000N1100_Signal	0.5495	2.2409	12.9938	63.8550	198.7624
2000N1100_S/B	0.0413	0.2979	1.7664	14.7321	54.4685
4000N100_Signal	0.0150	0.0137	0.0214	0.0079	0.0574
4000N100_S/B	0.0011	0.0018	0.0029	0.0018	0.0157
4000N2100_Signal	0.0003	0.0008	0.0053	0.0200	6.1652
4000N2100_S/B	0.0000	0.0001	0.0007	0.0046	1.6895
