Category	Bin1[800,1000]	Bin2[1000,1200]	Bin3[1200,1500]	Bin4[1500,1800]	Bin5[1800,8000]
BKG	118.0538	47.0615	23.9475	6.9242	3.7862
2000N100_Signal	11.0222	18.8336	57.3245	171.3984	2128.8131
2000N100_S/B	0.0934	0.4002	2.3938	24.7535	562.2562
2000N1100_Signal	3.1621	5.0378	11.7987	9.0095	2.6021
2000N1100_S/B	0.0268	0.1070	0.4927	1.3012	0.6873
4000N100_Signal	0.2641	0.3809	0.7171	0.8549	31.8363
4000N100_S/B	0.0022	0.0081	0.0299	0.1235	8.4085
4000N2100_Signal	0.0051	0.0079	0.0180	0.0256	0.3487
4000N2100_S/B	0.0000	0.0002	0.0007	0.0037	0.0921
