Category	Bin1[800,1000]	Bin2[1000,1200]	Bin3[1200,1500]	Bin4[1500,1800]	Bin5[1800,8000]
BKG	1.9272	1.5355	1.3511	0.7015	1.3708
2000N100_Signal	0.0121	0.0205	0.0137	0.1415	1.3946
2000N100_S/B	0.0063	0.0134	0.0102	0.2017	1.0174
2000N1100_Signal	0.0000	0.0747	0.6369	4.2717	14.3803
2000N1100_S/B	0.0000	0.0486	0.4714	6.0891	10.4905
4000N100_Signal	0.0010	0.0010	0.0004	0.0007	0.0103
4000N100_S/B	0.0005	0.0006	0.0003	0.0010	0.0075
4000N2100_Signal	0.0001	0.0000	0.0006	0.0014	0.9296
4000N2100_S/B	0.0001	0.0000	0.0005	0.0020	0.6781
