Category	Bin1[800,1000]	Bin2[1000,1200]	Bin3[1200,1500]	Bin4[1500,1800]	Bin5[1800,8000]
BKG	64.2504	42.3569	33.5711	17.1726	16.1270
2000N100_Signal	0.3385	0.6465	1.0475	1.6136	15.9547
2000N100_S/B	0.0053	0.0153	0.0312	0.0940	0.9893
2000N1100_Signal	0.8013	2.4771	12.3484	63.4823	212.4874
2000N1100_S/B	0.0125	0.0585	0.3678	3.6967	13.1758
4000N100_Signal	0.0141	0.0168	0.0187	0.0159	0.0645
4000N100_S/B	0.0002	0.0004	0.0006	0.0009	0.0040
4000N2100_Signal	0.0004	0.0014	0.0093	0.0198	6.1150
4000N2100_S/B	0.0000	0.0000	0.0003	0.0012	0.3792
