Category	Bin1[800,1000]	Bin2[1000,1200]	Bin3[1200,1500]	Bin4[1500,1800]	Bin5[1800,8000]
BKG	0.0000	0.0000	0.0017	0.0001	0.0571
2000N100_Signal	0.0000	0.0160	0.0491	0.1728	3.6388
2000N100_S/B	0.0000	602.3497	29.7420	1801.9698	63.7456
2000N1100_Signal	0.0000	0.0000	0.0466	0.0049	0.0000
2000N1100_S/B	0.0000	0.0000	28.2402	51.0759	0.0000
4000N100_Signal	0.0000	0.0013	0.0017	0.0021	0.6078
4000N100_S/B	0.0000	47.8077	1.0429	21.6861	10.6484
4000N2100_Signal	0.0000	0.0000	0.0000	0.0006	0.0015
4000N2100_S/B	0.0000	0.0000	0.0160	5.8588	0.0271
