Category	Bin1[800,1000]	Bin2[1000,1200]	Bin3[1200,1500]	Bin4[1500,1800]	Bin5[1800,8000]
BKG	165.9711	64.3422	33.1311	8.3982	5.2945
2000N100_Signal	7.1267	11.7367	25.3930	56.6476	940.9637
2000N100_S/B	0.0429	0.1824	0.7664	6.7452	177.7243
2000N1100_Signal	6.7619	12.0211	27.2724	20.3132	6.4806
2000N1100_S/B	0.0407	0.1868	0.8232	2.4188	1.2240
4000N100_Signal	0.3164	0.4266	0.5990	0.4630	3.6184
4000N100_S/B	0.0019	0.0066	0.0181	0.0551	0.6834
4000N2100_Signal	0.0097	0.0167	0.0411	0.0691	0.8686
4000N2100_S/B	0.0001	0.0003	0.0012	0.0082	0.1641
