Category	Bin1[800,1000]	Bin2[1000,1200]	Bin3[1200,1500]	Bin4[1500,1800]	Bin5[1800,8000]
BKG	21.0458	7.4069	3.8133	1.6673	0.4454
2000N100_Signal	11.2898	18.5075	52.1121	166.1345	2009.5760
2000N100_S/B	0.5364	2.4987	13.6660	99.6455	4512.1440
2000N1100_Signal	2.2264	5.0791	13.7150	13.3900	2.4708
2000N1100_S/B	0.1058	0.6857	3.5967	8.0312	5.5478
4000N100_Signal	0.2972	0.3907	0.7373	0.7989	30.4795
4000N100_S/B	0.0141	0.0527	0.1933	0.4792	68.4363
4000N2100_Signal	0.0054	0.0047	0.0116	0.0248	0.4267
4000N2100_S/B	0.0003	0.0006	0.0030	0.0149	0.9580
