Category	Bin1[800,1000]	Bin2[1000,1200]	Bin3[1200,1500]	Bin4[1500,1800]	Bin5[1800,8000]
BKG	193.2009	75.6094	40.1646	10.4626	7.4358
2000N100_Signal	14.6034	21.7263	47.4076	108.0395	1728.3799
2000N100_S/B	0.0756	0.2873	1.1803	10.3263	232.4413
2000N1100_Signal	13.1111	23.3509	54.7555	44.7779	10.3266
2000N1100_S/B	0.0679	0.3088	1.3633	4.2798	1.3888
4000N100_Signal	0.6091	0.7414	1.0717	0.8462	6.1771
4000N100_S/B	0.0032	0.0098	0.0267	0.0809	0.8307
4000N2100_Signal	0.0152	0.0256	0.0769	0.1300	1.7247
4000N2100_S/B	0.0001	0.0003	0.0019	0.0124	0.2319
