region,flavor,cut_index,cut,signal,background,asimov_z,z_over_first,z_reduction_percent
Boost,MM,1,All,0.75642295,3.1357246e+08,4.2716507e-05,1,0
Boost,MM,2,Noise filter,0.74785376,3.1357246e+08,4.2232588e-05,0.98867139,1.132861
Boost,MM,3,Not resolved,0.15985378,2.9820904e+08,9.2568329e-06,0.21670388,78.081303
Boost,MM,4,"Tight lep $\geq 1$, $p_T$/$\eta$/id",0.1539861,87065621,1.6502821e-05,0.38633357,-78.27718
Boost,MM,5,Trigger,0.1418293,86727962,1.5229526e-05,0.35652555,7.7156176
Boost,MM,6,"$\Delta\phi(\ell,\mathrm{Fatjet})<2.0$",0.14144029,83676742,1.5462181e-05,0.36197203,-1.5276547
Boost,MM,7,No extra tight lep,0.025956113,1115599,2.4574552e-05,0.57529404,-58.933284
Boost,MM,8,"$\ell_{\mathrm{loose,SF}}$ in Jet",0.017711103,1070859,1.7115101e-05,0.40066715,30.354371
Boost,MM,9,"No $\ell_{\mathrm{loose,OF}}$ in Jet",0.011227478,102208,3.5118807e-05,0.82213667,-105.19193
Boost,MM,10,$M_{ll}>200$ GeV,0.010978939,100736,3.4591389e-05,0.80978975,1.5018089
Boost,MM,11,$W_R>800$ GeV,0.010978939,84513,3.7765792e-05,0.88410301,-9.1768576
Boost,EE,1,All,0.75642295,3.1357246e+08,4.2716507e-05,1,0
Boost,EE,2,Noise filter,0.74384472,3.1357246e+08,4.2006196e-05,0.98337152,1.6628476
Boost,EE,3,Not resolved,0.28747314,2.9820904e+08,1.6647035e-05,0.38970965,60.370049
Boost,EE,4,"Tight lep $\geq 1$, $p_T$/$\eta$/id",0.2575296,87065621,2.7599666e-05,0.64611243,-65.793285
Boost,EE,5,Trigger,0.25720542,86727962,2.7618527e-05,0.64655398,-0.068339744
Boost,EE,6,"$\Delta\phi(\ell,\mathrm{Fatjet})<2.0$",0.25709735,83676742,2.8105753e-05,0.65796,-1.764125
Boost,EE,7,No extra tight lep,0.05086404,1115599,4.8156708e-05,1.127356,-71.341108
Boost,EE,8,"$\ell_{\mathrm{loose,SF}}$ in Jet",0.044682984,1070859,4.3179342e-05,1.010835,10.335769
Boost,EE,9,"No $\ell_{\mathrm{loose,OF}}$ in Jet",0.025296945,102208,7.9127165e-05,1.8523791,-83.252364
Boost,EE,10,$M_{ll}>200$ GeV,0.024616164,100736,7.7558251e-05,1.8156506,1.9827757
Boost,EE,11,$W_R>800$ GeV,0.024616164,84513,8.4675661e-05,1.9822703,-9.1768572
Resolve,MM,1,All,0.75642295,3.1357246e+08,4.2716507e-05,1,0
Resolve,MM,2,Noise filter,0.74785376,3.1357246e+08,4.2232588e-05,0.98867139,1.132861
Resolve,MM,3,"$N_{\ell_{\rm tight}}=2$, $p_T$/$\eta$/id",0.59104728,10678094,0.00018087367,4.2342805,-328.27986
Resolve,MM,4,Trigger,0.58469333,10454697,0.0001808308,4.2332769,0.023700256
Resolve,MM,5,"$N_{\rm jet}\geq 2$, $p_T$/$\eta$/id",0.55143233,4365292,0.00026392806,6.1785965,-45.953044
Resolve,MM,6,All object resolved,0.54991949,4216375,0.00026781166,6.2695122,-1.4714617
Resolve,MM,7,"$W_R>800$ GeV, $M_{ll}>200$ GeV",0.54394374,86381,0.0018507358,43.326009,-591.05869
Resolve,EE,1,All,0.75642295,3.1357246e+08,4.2716507e-05,1,0
Resolve,EE,2,Noise filter,0.74384472,3.1357246e+08,4.2006196e-05,0.98337152,1.6628476
Resolve,EE,3,"$N_{\ell_{\rm tight}}=2$, $p_T$/$\eta$/id",0.441751,10678094,0.00013518567,3.1647174,-221.82317
Resolve,EE,4,Trigger,0.44128634,10454697,0.00013647866,3.1949865,-0.95645392
Resolve,EE,5,"$N_{\rm jet}\geq 2$, $p_T$/$\eta$/id",0.416346,4365292,0.00019927267,4.6650039,-46.010127
Resolve,EE,6,All object resolved,0.41558958,4216375,0.00020239278,4.7380462,-1.5657512
Resolve,EE,7,"$W_R>800$ GeV, $M_{ll}>200$ GeV",0.4093761,86381,0.0013928778,32.607485,-588.20529
