region,flavor,cut_index,cut,signal,background,asimov_z,z_over_first,z_reduction_percent
Boost,MM,1,All,0.2692232,3.1357246e+08,1.5203497e-05,1,0
Boost,MM,2,Noise filter,0.2692232,3.1357246e+08,1.5203497e-05,1,0
Boost,MM,3,Not resolved,0.1131199,2.9820904e+08,6.5505626e-06,0.43085894,56.914106
Boost,MM,4,"Tight lep $\geq 1$, $p_T$/$\eta$/id",0.10850849,87065621,1.1628946e-05,0.76488625,-77.52591
Boost,MM,5,Trigger,0.10427399,86727962,1.1196866e-05,0.73646645,3.7155585
Boost,MM,6,"$\Delta\phi(\ell,\mathrm{Fatjet})<2.0$",0.10351247,83676742,1.1315932e-05,0.74429798,-1.0633923
Boost,MM,7,No extra tight lep,0.03026838,1115599,2.865729e-05,1.8849143,-153.24727
Boost,MM,8,"$\ell_{\mathrm{loose,SF}}$ in Jet",0.028433816,1070859,2.747698e-05,1.8072803,4.1187056
Boost,MM,9,"No $\ell_{\mathrm{loose,OF}}$ in Jet",0.024499311,102208,7.6632221e-05,5.0404338,-178.89608
Boost,MM,10,$M_{ll}>200$ GeV,0.024095476,100736,7.5917719e-05,4.9934379,0.93237825
Boost,MM,11,$W_R>800$ GeV,0.024095476,84513,8.288458e-05,5.4516786,-9.1768572
Boost,EE,1,All,0.2692232,3.1357246e+08,1.5203497e-05,1,0
Boost,EE,2,Noise filter,0.2692232,3.1357246e+08,1.5203497e-05,1,0
Boost,EE,3,Not resolved,0.14997655,2.9820904e+08,8.6848622e-06,0.57124109,42.875891
Boost,EE,4,"Tight lep $\geq 1$, $p_T$/$\eta$/id",0.12694643,87065621,1.3604958e-05,0.89485715,-56.651398
Boost,EE,5,Trigger,0.1266849,86727962,1.3603332e-05,0.89475019,0.011951987
Boost,EE,6,"$\Delta\phi(\ell,\mathrm{Fatjet})<2.0$",0.126008,83676742,1.377513e-05,0.90605011,-1.2629127
Boost,EE,7,No extra tight lep,0.04409876,1115599,4.1751523e-05,2.7461789,-203.09349
Boost,EE,8,"$\ell_{\mathrm{loose,SF}}$ in Jet",0.042610341,1070859,4.1176446e-05,2.7083536,1.3773796
Boost,EE,9,"No $\ell_{\mathrm{loose,OF}}$ in Jet",0.030656831,102208,9.5892532e-05,6.3072681,-132.882
Boost,EE,10,$M_{ll}>200$ GeV,0.02857612,100736,9.00349e-05,5.9219862,6.1085384
Boost,EE,11,$W_R>800$ GeV,0.02857612,84513,9.8297274e-05,6.4654384,-9.1768571
Resolve,MM,1,All,0.2692232,3.1357246e+08,1.5203497e-05,1,0
Resolve,MM,2,Noise filter,0.2692232,3.1357246e+08,1.5203497e-05,1,0
Resolve,MM,3,"$N_{\ell_{\rm tight}}=2$, $p_T$/$\eta$/id",0.18009109,10678094,5.5111896e-05,3.6249487,-262.49487
Resolve,MM,4,Trigger,0.17887189,10454697,5.5320536e-05,3.6386718,-0.37857438
Resolve,MM,5,"$N_{\rm jet}\geq 2$, $p_T$/$\eta$/id",0.14219216,4365292,6.8056403e-05,4.476365,-23.021952
Resolve,MM,6,All object resolved,0.14192678,4216375,6.9118568e-05,4.5462282,-1.5607128
Resolve,MM,7,"$W_R>800$ GeV, $M_{ll}>200$ GeV",0.12263886,86381,0.00041727166,27.445768,-503.70414
Resolve,EE,1,All,0.2692232,3.1357246e+08,1.5203497e-05,1,0
Resolve,EE,2,Noise filter,0.2692232,3.1357246e+08,1.5203497e-05,1,0
Resolve,EE,3,"$N_{\ell_{\rm tight}}=2$, $p_T$/$\eta$/id",0.12490034,10678094,3.8222292e-05,2.5140461,-151.40461
Resolve,EE,4,Trigger,0.12467342,10454697,3.8558323e-05,2.5361483,-0.87914926
Resolve,EE,5,"$N_{\rm jet}\geq 2$, $p_T$/$\eta$/id",0.10260865,4365292,4.9110837e-05,3.2302329,-27.367668
Resolve,EE,6,All object resolved,0.10242789,4216375,4.9882545e-05,3.2809915,-1.5713602
Resolve,EE,7,"$W_R>800$ GeV, $M_{ll}>200$ GeV",0.08795522,86381,0.00029926259,19.6838,-499.93448
