region,flavor,cut_index,cut,signal,background,asimov_z,z_over_first,z_reduction_percent
Boost,MM,1,All,282.0349,3.1357246e+08,0.015926995,1,0
Boost,MM,2,Noise filter,280.43536,3.1357246e+08,0.015836666,0.99432857,0.56714278
Boost,MM,3,Not resolved,72.108266,2.9820904e+08,0.0041756553,0.26217471,73.63299
Boost,MM,4,"Tight lep $\geq 1$, $p_T$/$\eta$/id",66.898679,87065621,0.0071695869,0.45015315,-71.699684
Boost,MM,5,Trigger,64.473179,86727962,0.0069230817,0.43467596,3.4382065
Boost,MM,6,"$\Delta\phi(\ell,\mathrm{Fatjet})<2.0$",61.697149,83676742,0.0067447004,0.42347602,2.576617
Boost,MM,7,No extra tight lep,9.7906402,1115599,0.0092695019,0.58199943,-37.433856
Boost,MM,8,"$\ell_{\mathrm{loose,SF}}$ in Jet",7.9050354,1070859,0.0076390111,0.47962665,17.589843
Boost,MM,9,"No $\ell_{\mathrm{loose,OF}}$ in Jet",5.7212794,102208,0.017895616,1.1236028,-134.26614
Boost,MM,10,$M_{ll}>200$ GeV,5.6286108,100736,0.017733923,1.1134507,0.90353484
Boost,MM,11,$W_R>800$ GeV,5.6205527,84513,0.019333588,1.213888,-9.020363
Boost,EE,1,All,282.0349,3.1357246e+08,0.015926995,1,0
Boost,EE,2,Noise filter,279.2629,3.1357246e+08,0.015770455,0.99017143,0.982857
Boost,EE,3,Not resolved,117.85433,2.9820904e+08,0.0068247242,0.42850044,56.724621
Boost,EE,4,"Tight lep $\geq 1$, $p_T$/$\eta$/id",97.084471,87065621,0.010404623,0.65326968,-52.454846
Boost,EE,5,Trigger,96.665448,86727962,0.010379863,0.6517151,0.23796979
Boost,EE,6,"$\Delta\phi(\ell,\mathrm{Fatjet})<2.0$",94.417227,83676742,0.010321642,0.64805959,0.56090544
Boost,EE,7,No extra tight lep,14.963966,1115599,0.01416745,0.88952437,-37.259656
Boost,EE,8,"$\ell_{\mathrm{loose,SF}}$ in Jet",13.461123,1070859,0.013008111,0.81673356,8.183116
Boost,EE,9,"No $\ell_{\mathrm{loose,OF}}$ in Jet",8.1064889,102208,0.025356226,1.5920283,-94.926269
Boost,EE,10,$M_{ll}>200$ GeV,7.8728028,100736,0.024804551,1.5573905,2.1756973
Boost,EE,11,$W_R>800$ GeV,7.8687738,84513,0.027066903,1.6994357,-9.1207126
Resolve,MM,1,All,282.0349,3.1357246e+08,0.015926995,1,0
Resolve,MM,2,Noise filter,280.43536,3.1357246e+08,0.015836666,0.99432857,0.56714278
Resolve,MM,3,"$N_{\ell_{\rm tight}}=2$, $p_T$/$\eta$/id",208.54064,10678094,0.063817885,4.0069006,-302.97551
Resolve,MM,4,Trigger,207.73885,10454697,0.06424814,4.0339148,-0.67419174
Resolve,MM,5,"$N_{\rm jet}\geq 2$, $p_T$/$\eta$/id",194.68466,4365292,0.093179819,5.8504332,-45.031154
Resolve,MM,6,All object resolved,193.01663,4216375,0.093998689,5.9018472,-0.87880619
Resolve,MM,7,"$W_R>800$ GeV, $M_{ll}>200$ GeV",134.50647,86381,0.45753195,28.726822,-386.7429
Resolve,EE,1,All,282.0349,3.1357246e+08,0.015926995,1,0
Resolve,EE,2,Noise filter,279.2629,3.1357246e+08,0.015770455,0.99017143,0.982857
Resolve,EE,3,"$N_{\ell_{\rm tight}}=2$, $p_T$/$\eta$/id",155.54628,10678094,0.04760052,2.9886693,-201.83352
Resolve,EE,4,Trigger,155.30856,10454697,0.048032877,3.0158155,-0.90830267
Resolve,EE,5,"$N_{\rm jet}\geq 2$, $p_T$/$\eta$/id",145.87248,4365292,0.069817501,4.3835954,-45.353569
Resolve,EE,6,All object resolved,144.88939,4216375,0.070560959,4.4302745,-1.064859
Resolve,EE,7,"$W_R>800$ GeV, $M_{ll}>200$ GeV",101.53256,86381,0.34539114,21.685896,-389.49327
