region,flavor,cut_index,cut,signal,background,asimov_z,z_over_first,z_reduction_percent
Boost,MM,1,All,0.1391135,3.1357246e+08,7.8559792e-06,1,0
Boost,MM,2,Noise filter,0.1391135,3.1357246e+08,7.8559792e-06,1,0
Boost,MM,3,Not resolved,0.041441912,2.9820904e+08,2.3998244e-06,0.30547743,69.452257
Boost,MM,4,"Tight lep $\geq 1$, $p_T$/$\eta$/id",0.039850056,87065621,4.2707655e-06,0.54363248,-77.961584
Boost,MM,5,Trigger,0.03756462,86727962,4.033662e-06,0.51345121,5.5517784
Boost,MM,6,"$\Delta\phi(\ell,\mathrm{Fatjet})<2.0$",0.037300304,83676742,4.0776497e-06,0.51905047,-1.0905152
Boost,MM,7,No extra tight lep,0.0095074142,1115599,9.0013646e-06,1.1457979,-120.74884
Boost,MM,8,"$\ell_{\mathrm{loose,SF}}$ in Jet",0.008020887,1070859,7.7509734e-06,0.98663364,13.89113
Boost,MM,9,"No $\ell_{\mathrm{loose,OF}}$ in Jet",0.0063237023,102208,1.9780122e-05,2.517843,-155.19533
Boost,MM,10,$M_{ll}>200$ GeV,0.0062064495,100736,1.9554687e-05,2.489147,1.1397049
Boost,MM,11,$W_R>800$ GeV,0.0062044622,84513,2.1342357e-05,2.7167023,-9.1418986
Boost,EE,1,All,0.1391135,3.1357246e+08,7.8559792e-06,1,0
Boost,EE,2,Noise filter,0.1391135,3.1357246e+08,7.8559792e-06,1,0
Boost,EE,3,Not resolved,0.063843161,2.9820904e+08,3.6970348e-06,0.4706014,52.93986
Boost,EE,4,"Tight lep $\geq 1$, $p_T$/$\eta$/id",0.056245576,87065621,6.0278869e-06,0.76729924,-63.046527
Boost,EE,5,Trigger,0.056176019,86727962,6.0321389e-06,0.76784048,-0.070537709
Boost,EE,6,"$\Delta\phi(\ell,\mathrm{Fatjet})<2.0$",0.055957412,83676742,6.1172363e-06,0.77867267,-1.4107349
Boost,EE,7,No extra tight lep,0.017236163,1115599,1.6318737e-05,2.0772377,-166.76649
Boost,EE,8,"$\ell_{\mathrm{loose,SF}}$ in Jet",0.016133192,1070859,1.5590288e-05,1.9845124,4.4638779
Boost,EE,9,"No $\ell_{\mathrm{loose,OF}}$ in Jet",0.01155437,102208,3.6141304e-05,4.6004836,-131.81935
Boost,EE,10,$M_{ll}>200$ GeV,0.010642183,100736,3.3530371e-05,4.2681339,7.2242352
Boost,EE,11,$W_R>800$ GeV,0.010642183,84513,3.6607405e-05,4.6598144,-9.1768576
Resolve,MM,1,All,0.1391135,3.1357246e+08,7.8559792e-06,1,0
Resolve,MM,2,Noise filter,0.1391135,3.1357246e+08,7.8559792e-06,1,0
Resolve,MM,3,"$N_{\ell_{\rm tight}}=2$, $p_T$/$\eta$/id",0.10421986,10678094,3.1893606e-05,4.0597874,-305.97874
Resolve,MM,4,Trigger,0.10318843,10454697,3.1913562e-05,4.0623278,-0.062573593
Resolve,MM,5,"$N_{\rm jet}\geq 2$, $p_T$/$\eta$/id",0.090362169,4365292,4.3249391e-05,5.5052832,-35.52041
Resolve,MM,6,All object resolved,0.090169397,4216375,4.391264e-05,5.5897093,-1.5335457
Resolve,MM,7,"$W_R>800$ GeV, $M_{ll}>200$ GeV",0.085467361,86381,0.00029079779,37.01611,-562.21888
Resolve,EE,1,All,0.1391135,3.1357246e+08,7.8559792e-06,1,0
Resolve,EE,2,Noise filter,0.1391135,3.1357246e+08,7.8559792e-06,1,0
Resolve,EE,3,"$N_{\ell_{\rm tight}}=2$, $p_T$/$\eta$/id",0.074994101,10678094,2.294987e-05,2.9213252,-192.13252
Resolve,EE,4,Trigger,0.074924545,10454697,2.317226e-05,2.9496335,-0.96902248
Resolve,EE,5,"$N_{\rm jet}\geq 2$, $p_T$/$\eta$/id",0.066255786,4365292,3.1711528e-05,4.0366105,-36.851254
Resolve,EE,6,All object resolved,0.066140521,4216375,3.2210539e-05,4.1001304,-1.5735951
Resolve,EE,7,"$W_R>800$ GeV, $M_{ll}>200$ GeV",0.062561329,86381,0.00021286134,27.095457,-560.84378
