region,flavor,cut_index,cut,signal,background,asimov_z,z_over_first,z_reduction_percent
Boost,MM,1,All,0.056976389,3.1357246e+08,3.2175533e-06,1,0
Boost,MM,2,Noise filter,0.056976389,3.1357246e+08,3.2175533e-06,1,0
Boost,MM,3,Not resolved,0.012517713,2.9820904e+08,7.2487774e-07,0.22528849,77.471151
Boost,MM,4,"Tight lep $\geq 1$, $p_T$/$\eta$/id",0.012135971,87065621,1.3006226e-06,0.4042272,-79.426473
Boost,MM,5,Trigger,0.011016792,86727962,1.1829733e-06,0.36766236,9.0456155
Boost,MM,6,"$\Delta\phi(\ell,\mathrm{Fatjet})<2.0$",0.010993187,83676742,1.2017685e-06,0.37350383,-1.5888133
Boost,MM,7,No extra tight lep,0.0021805678,1115599,2.0645031e-06,0.64163758,-71.788754
Boost,MM,8,"$\ell_{\mathrm{loose,SF}}$ in Jet",0.0014927814,1070859,1.4425473e-06,0.44833671,30.126176
Boost,MM,9,"No $\ell_{\mathrm{loose,OF}}$ in Jet",0.00097348231,102208,3.0449882e-06,0.94636761,-111.08412
Boost,MM,10,$M_{ll}>200$ GeV,0.00096045913,100736,3.0261227e-06,0.9405043,0.6195598
Boost,MM,11,$W_R>800$ GeV,0.00096045913,84513,3.3038257e-06,1.0268131,-9.1768592
Boost,EE,1,All,0.056976387,3.1357246e+08,3.2175533e-06,1,0
Boost,EE,2,Noise filter,0.056976387,3.1357246e+08,3.2175533e-06,1,0
Boost,EE,3,Not resolved,0.021895035,2.9820904e+08,1.2679019e-06,0.39405777,60.594223
Boost,EE,4,"Tight lep $\geq 1$, $p_T$/$\eta$/id",0.01965066,87065621,2.1059771e-06,0.65452751,-66.099379
Boost,EE,5,Trigger,0.019631668,86727962,2.1080338e-06,0.6551667,-0.097656999
Boost,EE,6,"$\Delta\phi(\ell,\mathrm{Fatjet})<2.0$",0.019622172,83676742,2.1450864e-06,0.66668247,-1.757686
Boost,EE,7,No extra tight lep,0.0042414378,1115599,4.0156796e-06,1.2480538,-87.203628
Boost,EE,8,"$\ell_{\mathrm{loose,SF}}$ in Jet",0.0037022265,1070859,3.5776417e-06,1.1119137,10.908188
Boost,EE,9,"No $\ell_{\mathrm{loose,OF}}$ in Jet",0.0022101058,102208,6.9130646e-06,2.148547,-93.229651
Boost,EE,10,$M_{ll}>200$ GeV,0.0021287699,100736,6.7071245e-06,2.0845419,2.9789975
Boost,EE,11,$W_R>800$ GeV,0.0021287699,84513,7.3226278e-06,2.2758373,-9.1768581
Resolve,MM,1,All,0.056976389,3.1357246e+08,3.2175533e-06,1,0
Resolve,MM,2,Noise filter,0.056976389,3.1357246e+08,3.2175533e-06,1,0
Resolve,MM,3,"$N_{\ell_{\rm tight}}=2$, $p_T$/$\eta$/id",0.04461821,10678094,1.3654169e-05,4.2436496,-324.36496
Resolve,MM,4,Trigger,0.043985773,10454697,1.3603683e-05,4.227959,0.36974292
Resolve,MM,5,"$N_{\rm jet}\geq 2$, $p_T$/$\eta$/id",0.041093814,4365292,1.9668435e-05,6.1128545,-44.581689
Resolve,MM,6,All object resolved,0.04100021,4216375,1.9967168e-05,6.2056991,-1.5188425
Resolve,MM,7,"$W_R>800$ GeV, $M_{ll}>200$ GeV",0.040623352,86381,0.00013821864,42.957683,-592.22955
Resolve,EE,1,All,0.056976387,3.1357246e+08,3.2175533e-06,1,0
Resolve,EE,2,Noise filter,0.056976387,3.1357246e+08,3.2175533e-06,1,0
Resolve,EE,3,"$N_{\ell_{\rm tight}}=2$, $p_T$/$\eta$/id",0.033490555,10678094,1.0248858e-05,3.1852954,-218.52954
Resolve,EE,4,Trigger,0.033455461,10454697,1.0346925e-05,3.2157741,-0.95685441
Resolve,EE,5,"$N_{\rm jet}\geq 2$, $p_T$/$\eta$/id",0.031263934,4365292,1.496363e-05,4.650624,-44.619113
Resolve,EE,6,All object resolved,0.031214802,4216375,1.5201659e-05,4.7246019,-1.590711
Resolve,EE,7,"$W_R>800$ GeV, $M_{ll}>200$ GeV",0.030816794,86381,0.00010485238,32.587614,-589.74305
