region,flavor,cut_index,cut,signal,background,asimov_z,z_over_first,z_reduction_percent
Boost,MM,1,All,1.0754693,3.1357246e+08,6.0733605e-05,1,0
Boost,MM,2,Noise filter,1.0641689,3.1357246e+08,6.009545e-05,0.98949256,1.0507443
Boost,MM,3,Not resolved,0.26050436,2.9820904e+08,1.5085323e-05,0.2483851,74.897729
Boost,MM,4,"Tight lep $\geq 1$, $p_T$/$\eta$/id",0.25257478,87065621,2.7068651e-05,0.44569479,-79.437005
Boost,MM,5,Trigger,0.23392261,86727962,2.5118437e-05,0.41358382,7.2046988
Boost,MM,6,"$\Delta\phi(\ell,\mathrm{Fatjet})<2.0$",0.23291134,83676742,2.5461752e-05,0.41923663,-1.3667853
Boost,MM,7,No extra tight lep,0.051173078,1115599,4.8449297e-05,0.79773458,-90.282655
Boost,MM,8,"$\ell_{\mathrm{loose,SF}}$ in Jet",0.037432754,1070859,3.6173092e-05,0.59560257,25.338253
Boost,MM,9,"No $\ell_{\mathrm{loose,OF}}$ in Jet",0.026613853,102208,8.3246367e-05,1.3706805,-130.13341
Boost,MM,10,$M_{ll}>200$ GeV,0.026212559,100736,8.2588018e-05,1.3598405,0.79084453
Boost,MM,11,$W_R>800$ GeV,0.026212559,84513,9.0167003e-05,1.4846312,-9.1768571
Boost,EE,1,All,1.0754694,3.1357246e+08,6.0733612e-05,1,0
Boost,EE,2,Noise filter,1.0595985,3.1357246e+08,5.9837353e-05,0.98524277,1.4757226
Boost,EE,3,Not resolved,0.43853033,2.9820904e+08,2.5394473e-05,0.41812881,57.560835
Boost,EE,4,"Tight lep $\geq 1$, $p_T$/$\eta$/id",0.38847491,87065621,4.1633183e-05,0.6855048,-63.945844
Boost,EE,5,Trigger,0.38806008,86727962,4.1669607e-05,0.68610454,-0.087488445
Boost,EE,6,"$\Delta\phi(\ell,\mathrm{Fatjet})<2.0$",0.38767599,83676742,4.2380544e-05,0.69781036,-1.706127
Boost,EE,7,No extra tight lep,0.096761517,1115599,9.1611207e-05,1.5084103,-116.16336
Boost,EE,8,"$\ell_{\mathrm{loose,SF}}$ in Jet",0.08599146,1070859,8.3097732e-05,1.368233,9.2930501
Boost,EE,9,"No $\ell_{\mathrm{loose,OF}}$ in Jet",0.054864303,102208,0.00017161189,2.8256494,-106.51814
Boost,EE,10,$M_{ll}>200$ GeV,0.052851639,100736,0.00016651987,2.7418075,2.9671724
Boost,EE,11,$W_R>800$ GeV,0.052851639,84513,0.00018180116,2.9934192,-9.1768563
Resolve,MM,1,All,1.0754693,3.1357246e+08,6.0733605e-05,1,0
Resolve,MM,2,Noise filter,1.0641689,3.1357246e+08,6.009545e-05,0.98949256,1.0507443
Resolve,MM,3,"$N_{\ell_{\rm tight}}=2$, $p_T$/$\eta$/id",0.82764589,10678094,0.00025327813,4.1703127,-321.45974
Resolve,MM,4,Trigger,0.81812718,10454697,0.00025302597,4.1661608,0.099559067
Resolve,MM,5,"$N_{\rm jet}\geq 2$, $p_T$/$\eta$/id",0.75351876,4365292,0.00036065122,5.9382482,-42.535262
Resolve,MM,6,All object resolved,0.7525396,4216375,0.00036648798,6.0343524,-1.6183933
Resolve,MM,7,"$W_R>800$ GeV, $M_{ll}>200$ GeV",0.73873507,86381,0.0025135006,41.385664,-585.83438
Resolve,EE,1,All,1.0754694,3.1357246e+08,6.0733612e-05,1,0
Resolve,EE,2,Noise filter,1.0595985,3.1357246e+08,5.9837353e-05,0.98524277,1.4757226
Resolve,EE,3,"$N_{\ell_{\rm tight}}=2$, $p_T$/$\eta$/id",0.61542968,10678094,0.00018833523,3.1010049,-214.74525
Resolve,EE,4,Trigger,0.61484585,10454697,0.00019015621,3.130988,-0.9668845
Resolve,EE,5,"$N_{\rm jet}\geq 2$, $p_T$/$\eta$/id",0.56715646,4365292,0.00027145399,4.4695841,-42.753154
Resolve,EE,6,All object resolved,0.566419,4216375,0.00027584695,4.5419158,-1.6183084
Resolve,EE,7,"$W_R>800$ GeV, $M_{ll}>200$ GeV",0.55383601,86381,0.0018843936,31.027194,-583.1301
