region,flavor,cut_index,cut,signal,background,asimov_z,z_over_first,z_reduction_percent
Boost,MM,1,All,0.0001438289,3.1357246e+08,8.119082e-09,1,0
Boost,MM,2,Noise filter,0.0001438289,3.1357246e+08,8.119082e-09,1,0
Boost,MM,3,Not resolved,3.5441497e-05,2.9820904e+08,2.0530066e-09,0.25286191,74.713809
Boost,MM,4,"Tight lep $\geq 1$, $p_T$/$\eta$/id",3.2595739e-05,87065621,3.4924597e-09,0.4301545,-70.114393
Boost,MM,5,Trigger,3.0867738e-05,86727962,3.3132381e-09,0.40808039,5.1316702
Boost,MM,6,"$\Delta\phi(\ell,\mathrm{Fatjet})<2.0$",3.0152702e-05,83676742,3.2968359e-09,0.40606018,0.49505255
Boost,MM,7,No extra tight lep,5.3915292e-06,1115599,5.1045497e-09,0.6287102,-54.831781
Boost,MM,8,"$\ell_{\mathrm{loose,SF}}$ in Jet",4.3333594e-06,1070859,4.1875143e-09,0.51576204,17.965059
Boost,MM,9,"No $\ell_{\mathrm{loose,OF}}$ in Jet",3.0676651e-06,102208,9.5953965e-09,1.1818327,-129.14301
Boost,MM,10,$M_{ll}>200$ GeV,3.0245164e-06,100736,9.5294048e-09,1.1737047,0.68774385
Boost,MM,11,$W_R>800$ GeV,3.0245164e-06,84513,1.0403877e-08,1.2814105,-9.176562
Boost,EE,1,All,0.0001438289,3.1357246e+08,8.119082e-09,1,0
Boost,EE,2,Noise filter,0.0001438289,3.1357246e+08,8.119082e-09,1,0
Boost,EE,3,Not resolved,6.0942361e-05,2.9820904e+08,3.529132e-09,0.43467131,56.532869
Boost,EE,4,"Tight lep $\geq 1$, $p_T$/$\eta$/id",4.9440159e-05,87065621,5.2978565e-09,0.65251916,-50.117835
Boost,EE,5,Trigger,4.9212087e-05,86727962,5.2863325e-09,0.65109978,0.21752292
Boost,EE,6,"$\Delta\phi(\ell,\mathrm{Fatjet})<2.0$",4.891621e-05,83676742,5.3475071e-09,0.65863445,-1.1572227
Boost,EE,7,No extra tight lep,8.3646781e-06,1115599,7.9192373e-09,0.9753858,-48.092132
Boost,EE,8,"$\ell_{\mathrm{loose,SF}}$ in Jet",7.5859474e-06,1070859,7.3305842e-09,0.90288338,7.4332049
Boost,EE,9,"No $\ell_{\mathrm{loose,OF}}$ in Jet",3.9922794e-06,102208,1.2487612e-08,1.5380572,-70.349483
Boost,EE,10,$M_{ll}>200$ GeV,3.7765361e-06,100736,1.1898769e-08,1.4655314,4.7154169
Boost,EE,11,$W_R>800$ GeV,3.7765361e-06,84513,1.2990712e-08,1.6000223,-9.176942
Resolve,MM,1,All,0.0001438289,3.1357246e+08,8.119082e-09,1,0
Resolve,MM,2,Noise filter,0.0001438289,3.1357246e+08,8.119082e-09,1,0
Resolve,MM,3,"$N_{\ell_{\rm tight}}=2$, $p_T$/$\eta$/id",0.00010599163,10678094,3.2435824e-08,3.9950113,-299.50113
Resolve,MM,4,Trigger,0.00010531974,10454697,3.2572167e-08,4.0118041,-0.42034545
Resolve,MM,5,"$N_{\rm jet}\geq 2$, $p_T$/$\eta$/id",0.00010027546,4365292,4.7994184e-08,5.9112821,-47.347227
Resolve,MM,6,All object resolved,9.9153592e-05,4216375,4.8287807e-08,5.9474467,-0.61178794
Resolve,MM,7,"$W_R>800$ GeV, $M_{ll}>200$ GeV",8.8746543e-05,86381,3.0195504e-07,37.190787,-525.32358
Resolve,EE,1,All,0.0001438289,3.1357246e+08,8.119082e-09,1,0
Resolve,EE,2,Noise filter,0.0001438289,3.1357246e+08,8.119082e-09,1,0
Resolve,EE,3,"$N_{\ell_{\rm tight}}=2$, $p_T$/$\eta$/id",7.6305343e-05,10678094,2.3351068e-08,2.8760725,-187.60725
Resolve,EE,4,Trigger,7.6147131e-05,10454697,2.3550448e-08,2.9006295,-0.85383852
Resolve,EE,5,"$N_{\rm jet}\geq 2$, $p_T$/$\eta$/id",7.2658253e-05,4365292,3.4775655e-08,4.2832004,-47.664515
Resolve,EE,6,All object resolved,7.2113758e-05,4216375,3.511963e-08,4.3255666,-0.9891239
Resolve,EE,7,"$W_R>800$ GeV, $M_{ll}>200$ GeV",6.510929e-05,86381,2.2153068e-07,27.285188,-530.78877
