Category	Bin1[800,1000]	Bin2[1000,1200]	Bin3[1200,1500]	Bin4[1500,1800]	Bin5[1800,8000]
BKG	103.2008	38.4342	20.5745	5.3926	2.9799
2000N100_Signal	0.0191	0.0666	0.5138	2.4642	23.7145
2000N100_S/sqrtB	0.0019	0.0107	0.1133	1.0612	13.7376
2000N1100_Signal	0.6674	0.5704	0.9190	0.3409	0.0614
2000N1100_S/sqrtB	0.0657	0.0920	0.2026	0.1468	0.0356
4000N100_Signal	0.0009	0.0007	0.0035	0.0092	0.6373
4000N100_S/sqrtB	0.0001	0.0001	0.0008	0.0040	0.3692
4000N1100_Signal	0.0031	0.0024	0.0013	0.0032	0.1419
4000N1100_S/sqrtB	0.0003	0.0004	0.0003	0.0014	0.0822
