Category	Bin1[800,1000]	Bin2[1000,1200]	Bin3[1200,1400]	Bin4[1400,1600]	Bin5[1600,2000]	Bin6[2000,2400]	Bin7[2400,2800]	Bin8[2800,3200]	Bin9[3200,8000]
BKG	0.8026	0.4679	0.5701	0.3673	0.3804	0.0743	0.0513	0.0404	0.0117
2000N100_Signal	0.0000	0.0083	0.0473	0.0602	0.2690	0.4268	0.1450	0.0000	0.0444
2000N100_S/B	0.0000	0.0177	0.0829	0.1640	0.7073	5.7425	2.8282	0.0000	3.7953
2000N1100_Signal	0.0249	0.0554	0.5480	1.0344	10.6455	4.4037	0.4976	0.1491	0.0784
2000N1100_S/B	0.0310	0.1185	0.9612	2.8163	27.9885	59.2558	9.7068	3.6947	6.6943
4000N100_Signal	0.0005	0.0000	0.0024	0.0004	0.0010	0.0003	0.0000	0.0009	0.0042
4000N100_S/B	0.0006	0.0000	0.0042	0.0011	0.0027	0.0042	0.0000	0.0230	0.3606
4000N2100_Signal	0.0000	0.0002	0.0000	0.0003	0.0032	0.0080	0.0168	0.0478	0.7394
4000N2100_S/B	0.0000	0.0004	0.0000	0.0007	0.0084	0.1077	0.3269	1.1856	63.1669
