Category	Bin1[800,1000]	Bin2[1000,1200]	Bin3[1200,1400]	Bin4[1400,1600]	Bin5[1600,2000]	Bin6[2000,2400]	Bin7[2400,2800]	Bin8[2800,3200]	Bin9[3200,8000]
BKG	13.3061	7.5214	5.2667	3.9841	3.5277	1.4694	0.5888	0.3283	0.1745
2000N100_Signal	0.5544	0.1799	0.7023	0.5513	4.0994	8.2110	2.4210	0.7234	0.4337
2000N100_S/B	0.0417	0.0239	0.1333	0.1384	1.1621	5.5880	4.1117	2.2032	2.4852
2000N1100_Signal	0.5495	2.2409	6.4787	17.9115	169.2691	72.3313	6.6655	1.7735	1.1817
2000N1100_S/B	0.0413	0.2979	1.2301	4.4957	47.9832	49.2256	11.3201	5.4012	6.7716
4000N100_Signal	0.0150	0.0137	0.0155	0.0087	0.0073	0.0093	0.0078	0.0021	0.0362
4000N100_S/B	0.0011	0.0018	0.0029	0.0022	0.0021	0.0063	0.0132	0.0065	0.2072
4000N2100_Signal	0.0003	0.0008	0.0036	0.0062	0.0356	0.0864	0.1861	0.3945	5.4782
4000N2100_S/B	0.0000	0.0001	0.0007	0.0016	0.0101	0.0588	0.3160	1.2015	31.3911
