Category	Bin1[800,1000]	Bin2[1000,1200]	Bin3[1200,1400]	Bin4[1400,1600]	Bin5[1600,2000]	Bin6[2000,2400]	Bin7[2400,2800]	Bin8[2800,3200]	Bin9[3200,8000]
BKG	0.2674	0.0794	0.0426	0.0610	0.0241	0.0063	0.0005	0.0211	0.0013
2000N100_Signal	0.0000	0.0000	0.0000	0.0312	0.0051	0.3743	0.2786	0.1180	0.0462
2000N100_S/B	0.0000	0.0000	0.0000	0.5124	0.2116	59.1464	516.9668	5.5908	35.2500
2000N1100_Signal	0.0000	0.0000	0.0068	0.0277	0.4104	0.6279	0.1617	0.0586	0.0190
2000N1100_S/B	0.0000	0.0000	0.1598	0.4539	17.0614	99.2205	299.9705	2.7789	14.4477
4000N100_Signal	0.0003	0.0000	0.0000	0.0000	0.0002	0.0000	0.0018	0.0000	0.0152
4000N100_S/B	0.0010	0.0000	0.0000	0.0000	0.0084	0.0000	3.2931	0.0000	11.6029
4000N2100_Signal	0.0000	0.0000	0.0001	0.0003	0.0002	0.0012	0.0025	0.0089	0.1073
4000N2100_S/B	0.0000	0.0000	0.0014	0.0057	0.0097	0.1913	4.6203	0.4233	81.7687
