Category	Bin1[800,1000]	Bin2[1000,1200]	Bin3[1200,1400]	Bin4[1400,1600]	Bin5[1600,2000]	Bin6[2000,2400]	Bin7[2400,2800]	Bin8[2800,3200]	Bin9[3200,8000]
2000N100_S/B	0.0053	0.0153	0.0162	0.0677	0.2724	1.4072	1.3128	0.6651	0.6358
2000N1100_S/B	0.0125	0.0585	0.2354	1.2154	10.7173	12.9182	3.3625	1.7399	1.6782
4000N100_S/B	0.0002	0.0004	0.0006	0.0005	0.0010	0.0014	0.0021	0.0012	0.0556
4000N2100_S/B	0.0000	0.0000	0.0003	0.0005	0.0026	0.0121	0.0771	0.3740	6.6474


