Category	Bin1[800,1000]	Bin2[1000,1200]	Bin3[1200,1400]	Bin4[1400,1600]	Bin5[1600,2000]	Bin6[2000,2400]	Bin7[2400,2800]	Bin8[2800,3200]	Bin9[3200,8000]
BKG	20.6905	12.9927	9.3825	6.7126	6.3694	2.6400	1.1618	0.5185	0.2661
2000N100_Signal	2.4504	2.2008	3.0556	2.8945	13.7661	31.9756	8.3088	1.6746	1.2425
2000N100_S/B	0.1184	0.1694	0.3257	0.4312	2.1613	12.1120	7.1518	3.2298	4.6685
2000N1100_Signal	4.4521	13.8223	36.4894	92.4284	777.3615	320.1194	24.6142	6.4729	3.6353
2000N1100_S/B	0.2152	1.0638	3.8891	13.7694	122.0469	121.2575	21.1867	12.4844	13.6595
4000N100_Signal	0.0929	0.0663	0.0685	0.0432	0.0460	0.0284	0.0165	0.0081	0.0703
4000N100_S/B	0.0045	0.0051	0.0073	0.0064	0.0072	0.0108	0.0142	0.0156	0.2642
4000N2100_Signal	0.0030	0.0051	0.0123	0.0272	0.1140	0.2724	0.5946	1.2013	14.6401
4000N2100_S/B	0.0001	0.0004	0.0013	0.0041	0.0179	0.1032	0.5118	2.3170	55.0092
