Category	Bin1[800,1000]	Bin2[1000,1200]	Bin3[1200,1400]	Bin4[1400,1600]	Bin5[1600,2000]	Bin6[2000,2400]	Bin7[2400,2800]	Bin8[2800,3200]	Bin9[3200,8000]
BKG	6.5706	4.9955	3.5413	2.3583	2.4573	1.0939	0.5215	0.1498	0.0792
2000N100_Signal	1.8959	2.0127	2.3061	2.2830	9.3976	23.3378	5.7428	0.9512	0.7643
2000N100_S/B	0.2885	0.4029	0.6512	0.9681	3.8244	21.3342	11.0115	6.3507	9.6494
2000N1100_Signal	3.8778	11.5260	29.4627	73.4824	597.4469	243.3844	17.4512	4.5503	2.3752
2000N1100_S/B	0.5902	2.3073	8.3197	31.1589	243.1344	222.4892	33.4618	30.3814	29.9861
4000N100_Signal	0.0774	0.0527	0.0506	0.0342	0.0376	0.0188	0.0088	0.0050	0.0299
4000N100_S/B	0.0118	0.0105	0.0143	0.0145	0.0153	0.0172	0.0168	0.0336	0.3781
4000N2100_Signal	0.0027	0.0041	0.0087	0.0207	0.0752	0.1780	0.3917	0.7589	8.4225
4000N2100_S/B	0.0004	0.0008	0.0025	0.0088	0.0306	0.1627	0.7511	5.0672	106.3300
