Category	Bin1[800,1000]	Bin2[1000,1200]	Bin3[1200,1400]	Bin4[1400,1600]	Bin5[1600,2000]	Bin6[2000,2400]	Bin7[2400,2800]	Bin8[2800,3200]	Bin9[3200,8000]
2000N100_S/B	0.0063	0.0134	0.0137	0.0561	0.2179	1.6864	2.1128	0.3397	2.3959
2000N1100_S/B	0.0000	0.0486	0.2302	1.6317	12.3137	11.1613	3.8763	1.6650	0.8993
4000N100_S/B	0.0005	0.0006	0.0004	0.0003	0.0008	0.0008	0.0097	0.0042	0.1537
4000N2100_S/B	0.0001	0.0000	0.0004	0.0006	0.0023	0.0169	0.1193	0.2739	17.5274




