Category	Bin1[800,1000]	Bin2[1000,1200]	Bin3[1200,1400]	Bin4[1400,1600]	Bin5[1600,2000]	Bin6[2000,2400]	Bin7[2400,2800]	Bin8[2800,3200]	Bin9[3200,8000]
BKG	506.8467	292.2423	159.0603	87.3786	79.8977	28.6584	10.2939	4.6832	3.3498
2000N100_Signal	2.0121	3.9300	2.7072	3.4925	15.8147	32.0648	8.2274	2.4308	1.6077
2000N100_S/B	0.0040	0.0134	0.0170	0.0400	0.1979	1.1189	0.7993	0.5190	0.4799
2000N1100_Signal	5.9679	14.7270	34.0665	89.8139	789.7035	329.9063	27.2968	7.6182	4.2377
2000N1100_S/B	0.0118	0.0504	0.2142	1.0279	9.8839	11.5117	2.6517	1.6267	1.2651
4000N100_Signal	0.1089	0.0822	0.0733	0.0430	0.0471	0.0441	0.0160	0.0100	0.0914
4000N100_S/B	0.0002	0.0003	0.0005	0.0005	0.0006	0.0015	0.0016	0.0021	0.0273
4000N2100_Signal	0.0026	0.0099	0.0226	0.0406	0.1496	0.2707	0.5711	1.1541	14.6852
4000N2100_S/B	0.0000	0.0000	0.0001	0.0005	0.0019	0.0094	0.0555	0.2464	4.3839
