Category	Bin1[800,1000]	Bin2[1000,1200]	Bin3[1200,1400]	Bin4[1400,1600]	Bin5[1600,2000]	Bin6[2000,2400]	Bin7[2400,2800]	Bin8[2800,3200]	Bin9[3200,8000]
BKG	12.9233	9.4716	5.1028	3.4141	2.7051	0.8253	0.5889	0.2184	0.0765
2000N100_Signal	5.3784	6.9816	7.5522	8.9414	34.3442	60.7689	14.4848	4.1507	2.0474
2000N100_S/B	0.4162	0.7371	1.4800	2.6190	12.6963	73.6365	24.5947	19.0017	26.7615
2000N1100_Signal	6.7137	20.4942	56.1474	137.2862	998.6042	388.5182	30.4110	9.1056	4.6761
2000N1100_S/B	0.5195	2.1637	11.0034	40.2116	369.1629	470.7856	51.6366	41.6846	61.1214
4000N100_Signal	0.1355	0.1222	0.1016	0.0763	0.1088	0.0749	0.0410	0.0291	0.1999
4000N100_S/B	0.0105	0.0129	0.0199	0.0224	0.0402	0.0907	0.0695	0.1331	2.6127
4000N1100_Signal	0.0198	0.0639	0.1476	0.2692	0.8403	1.1253	1.5133	2.4199	25.6905
4000N1100_S/B	0.0015	0.0067	0.0289	0.0789	0.3106	1.3635	2.5695	11.0780	335.8041
