Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct	WR2000N1100EE	WR2000N300EE	WR4000N2100EE	WR4000N300EE
2	50.0000	100.0000	262.4824	0.0000	25.8174	201.8107	17.3851	17.4693	1.2712	6.6056	6.7812	6.7268	6.8993	0.3180	0.8874	4.6631	0.8715	0.0000	0.0000	0.0000	0.0000	0.1168	4.8438	2.4461	6.8852	7.1535	7.3068	7.5601	0.5156	0.8747	4.7288	0.9070	0.0000	0.0000	0.0000	0.0000	0.1271	5.2889	1.4627	6.5890	6.6335	6.7494	6.7929	0.2323	0.8855	4.5744	0.8501	0.0000	0.0000	0.0000	0.0000	0.0537	4.7276	7.0653	7.0791	7.6792	10.0016	10.4350	1.5891	0.9239	5.6583	1.0455	0.0000	0.0000	0.0000	0.0000	0.5147	4.9070	4.0966	6.2018	7.3285	7.4326	8.3958	1.3421	0.8914	4.6004	0.8921	0.0000	0.0000	0.0000	0.0000	0.7746	5.4654	80.3605	373.1550	0.3006	2.0058
3	100.0000	150.0000	369.1709	0.0000	62.6670	274.1616	9.9609	22.3813	1.0170	7.6980	7.6013	7.7649	7.6690	0.5800	0.8568	5.7129	0.8325	0.0000	0.0000	0.0000	0.0000	0.1624	5.0230	1.6037	8.1565	9.0362	8.3126	9.1774	1.5554	0.8579	5.8093	0.8609	0.0000	0.0000	0.0000	0.0000	0.3441	6.7704	1.2526	7.5824	7.3136	7.6851	7.4200	0.3324	0.8552	5.6376	0.8198	0.0000	0.0000	0.0000	0.0000	0.1801	4.9214	8.6197	7.4792	7.4533	11.4122	11.3952	0.5605	0.8902	6.6079	1.0056	0.0000	0.0000	0.0000	0.0000	0.0000	3.5418	3.3262	8.2192	7.7955	8.8667	8.4755	1.3897	0.8575	5.9675	0.8306	0.0000	0.0000	0.0000	0.0000	0.1839	5.4448	172.6921	350.5687	0.5924	2.0086
4	150.0000	200.0000	281.9474	0.0000	81.0339	178.4704	3.2583	19.1848	1.0953	7.5684	7.4827	7.6473	7.5624	0.2743	0.8379	5.1732	0.7827	0.0000	0.0000	0.0000	0.0000	0.1745	5.4184	1.4101	9.0080	8.8478	9.1177	8.9595	0.7808	0.8483	5.4828	0.8313	0.0000	0.0000	0.0000	0.0000	0.2494	7.0014	1.5508	6.9842	6.9475	7.1543	7.1185	0.7068	0.8312	4.9798	0.7487	0.0000	0.0000	0.0000	0.0000	0.1776	4.8486	12.5457	8.5157	7.5428	15.1629	14.6386	4.8518	0.8895	6.8282	1.0841	0.0000	0.0000	0.0000	0.0000	0.0000	3.4006	3.3131	8.1221	7.2381	8.7718	7.9603	1.5077	0.8477	5.3838	0.8433	0.0000	0.0000	0.0000	0.0000	0.1339	5.7689	249.9043	291.2270	0.9164	1.6145
5	200.0000	250.0000	158.3886	0.0000	64.5684	78.4280	2.0815	13.3106	1.3889	7.1681	7.7977	7.3015	7.9205	0.1537	0.8315	4.9950	0.7480	0.0000	0.0000	0.0000	0.0000	0.3570	5.9956	1.5797	8.3296	9.3269	8.4781	9.4598	0.4774	0.8429	5.2711	0.8121	0.0000	0.0000	0.0000	0.0000	0.3961	7.6862	2.3594	6.2248	6.8007	6.6569	7.1983	0.1682	0.8194	4.7093	0.6922	0.0000	0.0000	0.0000	0.0000	0.4338	4.9030	16.4663	8.7858	6.1595	18.6636	17.5807	1.5043	0.8821	6.2320	0.7730	0.0000	0.0000	0.0000	0.0000	0.0000	5.8919	3.8138	7.2745	7.3527	8.2136	8.2830	0.9519	0.8400	5.1462	0.7621	0.0000	0.0000	0.0000	0.0000	0.4663	5.1698	294.9094	250.0298	1.2041	1.3092
6	250.0000	300.0000	78.2226	0.0000	40.8140	29.1689	0.7391	7.5005	1.8653	7.4587	7.4303	7.6884	7.6609	0.7752	0.8274	4.8754	0.7289	0.0000	0.0000	0.0000	0.0000	0.0873	5.5624	2.0257	8.8240	8.9044	9.0535	9.1319	0.9501	0.8359	5.2423	0.7554	0.0000	0.0000	0.0000	0.0000	0.2206	7.1623	3.8543	6.1241	5.3170	7.2361	6.5670	0.4836	0.8149	4.4391	0.6719	0.0000	0.0000	0.0000	0.0000	0.6662	4.0112	26.3086	7.5876	12.3839	27.3809	29.0776	6.3637	0.8617	4.1774	1.0094	0.0000	0.0000	0.0000	0.0000	0.0265	9.7165	5.0534	5.9429	8.4348	7.8009	9.8327	0.6923	0.8264	4.6442	0.7792	0.0000	0.0000	0.0000	0.0000	0.4771	6.9864	302.3944	207.0913	1.4161	1.0678
7	300.0000	350.0000	38.2040	0.0000	23.5510	10.5082	0.1068	4.0380	2.5409	8.5481	7.9845	8.9178	8.3791	2.1340	0.8198	4.9518	0.7048	0.0000	0.0000	0.0000	0.0000	0.2377	6.7283	2.6830	9.5511	8.3840	9.9207	8.8028	1.8009	0.8279	5.1417	0.7384	0.0000	0.0000	0.0000	0.0000	0.3794	7.8471	6.5437	7.0112	7.2928	9.5905	9.7982	3.0744	0.8015	4.4748	0.6281	0.0000	0.0000	0.0000	0.0000	0.7189	5.0725	62.7368	61.3595	4.0302	87.7548	62.8661	2.5924	0.7989	2.9574	0.6242	0.0000	0.0000	0.0000	0.0000	0.0000	61.2798	6.3495	6.4793	8.1396	9.0718	10.3233	2.1386	0.8204	5.1377	0.7104	0.0000	0.0000	0.0000	0.0000	1.4668	5.9508	275.1720	175.1452	1.5685	0.8136
8	350.0000	400.0000	18.3411	0.0000	12.6664	3.4002	0.0051	2.2693	3.3111	8.4603	7.9646	9.0852	8.6255	0.4539	0.8216	4.7168	0.7000	0.0000	0.0000	0.0000	0.0000	0.4545	6.9121	3.5597	9.9057	8.8896	10.5259	9.5759	0.6987	0.8244	4.8829	0.7014	0.0000	0.0000	0.0000	0.0000	0.6256	8.5160	10.5787	5.2228	6.6411	11.7977	12.4905	1.7075	0.8096	4.2990	0.6813	0.0000	0.0000	0.0000	0.0000	0.4272	4.7662	69.4027	6.7543	8.0445	69.7306	69.8673	7.0575	0.8428	3.7786	0.6513	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	8.3739	7.2930	5.8870	11.1045	10.2362	2.2637	0.8241	4.4175	0.7205	0.0000	0.0000	0.0000	0.0000	1.0342	5.1265	233.5524	145.1497	1.6908	0.6451
9	400.0000	450.0000	9.6533	0.0000	7.0963	0.9353	0.1664	1.4553	4.5500	8.5979	8.5934	9.7276	9.7236	2.2570	0.8196	4.7189	0.6792	0.0000	0.0000	0.0000	0.0000	1.2199	6.8031	4.7527	9.7043	9.3510	10.8056	10.4895	3.3160	0.8210	4.7177	0.6823	0.0000	0.0000	0.0000	0.0000	1.6595	7.7726	22.8450	5.1636	5.4758	23.4213	23.4921	2.0447	0.8049	5.0044	0.6074	0.0000	0.0000	0.0000	0.0000	0.0000	1.3421	59.5929	5.9292	7.8688	59.8872	60.1102	5.8954	0.8859	5.0985	1.2931	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	10.5736	8.5949	10.0179	13.6262	14.5657	3.1863	0.8145	4.4979	0.6403	0.0000	0.0000	0.0000	0.0000	2.9136	8.3632	186.6686	122.3783	1.7906	0.5274
10	450.0000	500.0000	5.9238	0.0000	4.5833	0.4758	0.0108	0.8539	5.5183	7.5007	7.4988	9.3119	9.3104	2.3866	0.8159	4.6769	0.6919	0.0000	0.0000	0.0000	0.0000	0.5668	5.3558	6.0241	7.3819	7.8285	9.5279	9.8780	2.4594	0.8174	4.8599	0.6935	0.0000	0.0000	0.0000	0.0000	0.4081	5.7045	29.1074	9.6890	4.5278	30.6776	29.4574	2.4130	0.7960	3.7896	0.5514	0.0000	0.0000	0.0000	0.0000	0.0000	8.8264	99.9783	36.7186	26.3862	106.5078	103.4016	36.6572	0.7960	1.8356	0.7073	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	12.4636	8.0023	8.5906	14.8114	15.1374	3.5018	0.8192	4.2251	0.7613	0.0000	0.0000	0.0000	0.0000	2.3748	6.3470	155.6057	102.3951	1.7915	0.3810
11	500.0000	550.0000	3.5465	0.0000	2.6930	0.1751	0.0001	0.6784	7.5417	9.4778	6.5604	12.1122	9.9958	1.6059	0.8159	4.8322	0.6631	0.0000	0.0000	0.0000	0.0000	0.1011	8.0727	8.0223	10.6571	7.1138	13.3391	10.7221	1.2363	0.8187	4.7356	0.6512	0.0000	0.0000	0.0000	0.0000	0.1332	9.4826	71.2677	7.6485	7.3594	71.6770	71.6467	1.2251	0.7960	7.5956	0.4162	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	20.2395	16.2041	102.0276	101.3044	17.7909	0.7960	9.5979	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	14.2121	6.6064	5.6698	15.6726	15.3013	3.1697	0.8099	4.5014	0.7743	0.0000	0.0000	0.0000	0.0000	0.0000	4.5606	125.6152	85.2638	1.7829	0.3219
12	550.0000	600.0000	2.5976	0.0000	2.0422	0.0609	0.0003	0.4941	8.6176	6.9850	9.7131	11.0929	12.9849	4.2958	0.8128	4.8777	0.5979	0.0000	0.0000	0.0000	0.0000	2.5924	7.1627	9.7820	7.4208	11.1333	12.2782	14.8201	5.2435	0.8123	4.8182	0.5635	0.0000	0.0000	0.0000	0.0000	3.0637	8.2892	76.5692	8.7312	14.1785	77.0654	77.8709	12.8327	0.7960	6.1092	0.4613	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	99.4439	107.5482	58.2134	146.4777	115.2297	107.1800	0.7960	8.8353	0.6020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	18.1266	7.4135	6.0843	19.5840	19.1204	2.5258	0.8167	4.9696	0.7570	0.0000	0.0000	0.0000	0.0000	0.9656	4.7584	100.0900	72.0682	1.6343	0.2678
13	600.0000	650.0000	1.4910	0.0000	1.0912	0.0725	0.0000	0.3273	10.8223	12.8637	9.3639	16.8106	14.3110	4.2927	0.8033	4.4451	0.6015	0.0000	0.0000	0.0000	0.0000	1.6059	11.5235	12.7725	15.4946	7.8509	20.0803	14.9924	5.4762	0.8041	4.4191	0.6115	0.0000	0.0000	0.0000	0.0000	2.1943	13.5915	52.3809	4.4880	29.4132	52.5728	60.0741	8.9752	0.7960	4.3687	0.6502	0.0000	0.0000	0.0000	0.0000	0.0000	27.6610	98.2875	43.9998	40.2138	107.6866	106.1959	43.6202	0.9034	5.6817	0.4073	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	21.9726	8.5571	14.8102	23.5800	26.4978	2.3448	0.8026	4.5487	0.5575	0.0000	0.0000	0.0000	0.0000	2.9005	13.5923	78.0400	57.3951	1.5338	0.2311
14	650.0000	700.0000	1.0369	0.0000	0.8887	0.0148	0.0000	0.1335	13.9959	11.2674	7.0490	17.9677	15.6708	2.8659	0.7960	4.6265	0.5860	0.0000	0.0000	0.0000	0.0000	0.0765	10.0943	14.7070	12.7970	9.4480	19.4951	17.4803	1.8469	0.7960	4.8364	0.6101	0.0000	0.0000	0.0000	0.0000	0.0892	11.7786	322.3564	175.4204	22.9815	366.9959	323.1746	32.4578	0.7960	0.4958	0.0524	0.0000	0.0000	0.0000	0.0000	0.0000	172.3889	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	31.0636	5.4124	8.4100	31.5316	32.1819	7.4271	0.7964	3.6870	0.4848	0.0000	0.0000	0.0000	0.0000	0.0000	1.2917	57.8585	44.9530	1.4065	0.1871
15	700.0000	750.0000	0.6610	0.0000	0.4513	0.0029	0.0000	0.2068	15.7921	9.8181	4.9566	18.5954	16.5517	0.4847	0.8019	4.2834	0.5454	0.0000	0.0000	0.0000	0.0000	0.0216	8.7751	19.8131	13.7679	6.0806	24.1271	20.7252	3.0939	0.7997	4.5984	0.5091	0.0000	0.0000	0.0000	0.0000	0.0317	12.8538	100.0000	141.1606	62.0583	172.9922	117.6912	141.1180	0.7960	3.3199	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.0101	6.9053	5.8677	26.9111	26.6638	5.7976	0.8068	3.6098	0.6238	0.0000	0.0000	0.0000	0.0000	0.0000	2.2731	18.0226	37.1569	1.2573	0.1743
