Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct	WR2000N1100MM	WR2000N300MM	WR4000N2100MM	WR4000N300MM
1	0.0000	50.0000	229.5602	0.0000	87.7980	120.6873	2.1479	18.9270	1.1953	5.1475	4.8618	5.2845	5.0066	0.1901	0.0000	0.0000	0.0000	0.6100	0.0000	1.4264	0.5956	0.1922	4.8644	1.5569	6.2722	6.7520	6.4626	6.9292	0.7261	0.0000	0.0000	0.0000	0.8548	0.0000	1.8665	0.8013	0.5334	6.3277	1.8829	3.9308	2.8570	4.3585	3.4217	0.5572	0.0000	0.0000	0.0000	0.3974	0.0000	1.0550	0.4157	0.4947	3.6678	16.6007	15.7268	4.0793	22.8673	17.0945	3.5724	0.0000	0.0000	0.0000	0.8272	0.0000	1.6202	0.7916	1.3771	15.2945	3.2108	7.2903	10.1542	7.9660	10.6497	1.6651	0.0000	0.0000	0.0000	0.8059	0.0000	1.7317	0.7661	0.7699	9.7775	69.1274	303.8107	0.4403	2.3839
2	50.0000	100.0000	818.9422	0.0000	207.2514	545.2835	10.6954	55.7120	0.6606	4.2097	4.5541	4.2613	4.6018	0.0290	0.0000	0.0000	0.0000	0.5146	0.0000	1.2527	0.5149	0.0497	4.3211	0.9572	6.8472	7.0826	6.9138	7.1470	0.5153	0.0000	0.0000	0.0000	0.8697	0.0000	1.8738	0.8150	0.0756	6.7138	0.8886	3.1033	3.7145	3.2280	3.8193	0.0471	0.0000	0.0000	0.0000	0.3540	0.0000	0.9791	0.3792	0.0566	3.5468	7.2238	2.2530	1.4335	7.5670	7.3647	1.0509	0.0000	0.0000	0.0000	0.5395	0.0000	1.1491	0.5484	0.9318	1.0914	2.0141	5.8886	4.3577	6.2235	4.8007	1.0949	0.0000	0.0000	0.0000	0.7613	0.0000	1.6400	0.7192	0.2550	5.4489	468.3294	1193.0695	2.3865	8.2237
3	100.0000	150.0000	404.1335	0.0000	68.6885	306.3718	7.0492	22.0240	0.9537	6.6272	5.8672	6.6955	5.9442	0.3424	0.0000	0.0000	0.0000	0.4627	0.0000	1.1696	0.4756	0.1669	6.4782	1.3113	7.1300	7.2867	7.2496	7.4038	0.4482	0.0000	0.0000	0.0000	0.8828	0.0000	1.8948	0.8354	0.3213	6.9155	1.1805	6.7043	5.7183	6.8074	5.8389	0.3438	0.0000	0.0000	0.0000	0.3434	0.0000	0.9648	0.3721	0.1255	6.6050	8.6411	6.3929	3.5481	10.7489	9.3412	0.4985	0.0000	0.0000	0.0000	0.3803	0.0000	1.0062	0.4185	0.6492	6.2681	3.4953	4.5548	4.5890	5.7414	5.7686	0.3178	0.0000	0.0000	0.0000	0.8374	0.0000	1.8089	0.8108	0.7922	4.0608	604.7446	758.5011	2.8293	4.4811
4	150.0000	200.0000	173.1264	0.0000	28.8082	132.5612	2.4268	9.3302	1.4804	6.7384	7.3455	6.8991	7.4932	0.0726	0.0000	0.0000	0.0000	0.5140	0.0000	1.2402	0.5177	0.0902	7.2047	1.3078	6.8647	6.8839	6.9882	7.0070	0.1785	0.0000	0.0000	0.0000	1.0209	0.0000	2.1031	0.9594	0.2079	6.4104	1.8467	6.7799	7.4924	7.0269	7.7166	0.0956	0.0000	0.0000	0.0000	0.3735	0.0000	1.0076	0.3946	0.1222	7.4040	14.6119	5.4936	8.4631	15.6105	16.8859	2.6333	0.0000	0.0000	0.0000	0.3511	0.0000	0.8582	0.3904	3.0550	7.3724	5.9530	6.9148	7.1890	9.1243	9.3338	1.2244	0.0000	0.0000	0.0000	0.9879	0.0000	1.9808	0.9366	1.2062	6.7826	595.9384	470.7142	3.2739	2.5513
5	200.0000	250.0000	70.5836	0.0000	13.3484	52.0110	1.5856	3.6387	2.1794	9.0958	8.2596	9.3533	8.5423	0.4222	0.0000	0.0000	0.0000	0.5680	0.0000	1.3411	0.5691	0.3403	8.9503	1.0058	6.8048	5.7739	6.8787	5.8609	0.0272	0.0000	0.0000	0.0000	1.1509	0.0000	2.3255	1.0797	0.1527	6.1953	2.8123	9.4041	8.4660	9.8156	8.9209	0.2484	0.0000	0.0000	0.0000	0.3865	0.0000	1.0383	0.4074	0.5803	9.3264	19.4469	15.9669	13.3909	25.1619	23.6114	7.2461	0.0000	0.0000	0.0000	0.8585	0.0000	1.8297	0.9041	4.6769	13.2537	9.2741	12.1033	14.2209	15.2479	16.9777	2.1827	0.0000	0.0000	0.0000	0.8977	0.0000	1.8448	0.8604	0.9055	13.8488	488.7073	285.8803	3.5269	1.4857
6	250.0000	300.0000	29.5745	0.0000	7.2083	19.9852	0.6956	1.6855	3.1831	9.5153	7.5288	10.0336	8.1740	1.7809	0.0000	0.0000	0.0000	0.6639	0.0000	1.5045	0.6527	0.9739	9.2647	1.1148	6.6929	6.7763	6.7851	6.8674	0.1073	0.0000	0.0000	0.0000	1.2408	0.0000	2.4722	1.1602	0.1472	6.0882	4.4741	11.2992	8.6747	12.1528	9.7605	2.8028	0.0000	0.0000	0.0000	0.4387	0.0000	1.1290	0.4546	1.1398	11.1062	28.2594	12.1436	9.9249	30.7581	29.9515	11.8972	0.0000	0.0000	0.0000	0.6471	0.0000	1.2950	0.6261	1.8537	7.6280	12.1046	8.6173	4.9401	14.8586	13.0738	3.3837	0.0000	0.0000	0.0000	0.8745	0.0000	1.9051	0.8430	2.8147	7.6267	353.5460	163.0889	3.5806	0.9078
7	300.0000	350.0000	13.9955	0.0000	4.0641	8.3391	0.3393	1.2530	4.5121	4.2032	7.3113	6.1665	8.5915	1.1415	0.0000	0.0000	0.0000	0.8018	0.0000	1.7013	0.7792	1.1910	6.8956	1.0676	6.4750	6.0107	6.5624	6.1048	0.0670	0.0000	0.0000	0.0000	1.2991	0.0000	2.5577	1.2149	0.0407	5.6759	6.9588	5.0456	7.6989	8.5955	10.3778	1.8507	0.0000	0.0000	0.0000	0.5415	0.0000	1.2509	0.5496	2.0325	7.2497	34.4391	13.0974	8.1198	36.8455	35.3834	3.6279	0.0000	0.0000	0.0000	0.4865	0.0000	1.2711	0.5994	3.7994	12.9991	17.2096	3.1353	13.0454	17.4928	21.5952	2.5704	0.0000	0.0000	0.0000	1.0064	0.0000	2.0373	0.9430	1.4616	12.5536	225.2556	96.9167	3.4421	0.5446
8	350.0000	400.0000	7.1874	0.0000	2.4250	4.0672	0.2070	0.4882	5.6790	17.5691	9.5760	18.4641	11.1333	1.5618	0.0000	0.0000	0.0000	0.9043	0.0000	1.8713	0.8696	0.6855	17.3404	0.9631	7.4936	6.2323	7.5553	6.3063	0.1685	0.0000	0.0000	0.0000	1.3514	0.0000	2.6378	1.2592	0.1192	6.7633	9.5106	19.6008	13.2370	21.7863	16.2994	3.4216	0.0000	0.0000	0.0000	0.6334	0.0000	1.3940	0.6308	1.3106	19.1840	38.0755	2.9917	8.0272	38.1928	38.9124	7.4856	0.0000	0.0000	0.0000	0.3107	0.0000	0.9079	0.3090	0.0000	2.7186	20.7137	61.1011	3.7411	64.5167	21.0488	4.6098	0.0000	0.0000	0.0000	1.1920	0.0000	2.4490	1.1622	1.3905	60.8550	125.8859	52.6647	3.2149	0.3574
9	400.0000	450.0000	4.4598	0.0000	1.5428	2.5741	0.1023	0.2406	7.5034	3.1194	8.0535	8.1260	11.0073	2.2225	0.0000	0.0000	0.0000	0.8511	0.0000	1.8486	0.8058	0.5311	7.4723	0.8982	5.9310	6.6069	5.9986	6.6676	0.1960	0.0000	0.0000	0.0000	1.3524	0.0000	2.6384	1.2605	0.0357	5.7829	12.5185	3.8052	12.9159	13.0841	17.9870	3.4850	0.0000	0.0000	0.0000	0.5496	0.0000	1.3229	0.5312	0.8988	12.4387	53.7573	13.9670	10.1203	55.5421	54.7017	9.9912	0.0000	0.0000	0.0000	0.5732	0.0000	1.4340	0.5039	0.0007	13.7475	29.1676	8.0547	42.8531	30.2593	51.8376	7.5049	0.0000	0.0000	0.0000	0.9802	0.0000	2.5843	0.9569	6.6372	41.9802	62.6313	26.3411	2.9318	0.2135
10	450.0000	500.0000	2.6164	0.0000	0.9983	1.4471	0.0458	0.1252	9.1230	15.0446	7.1149	17.5946	11.5694	8.6059	0.0000	0.0000	0.0000	1.0016	0.0000	2.0383	0.9323	0.8889	12.0934	1.0445	7.0209	6.7548	7.0982	6.8351	0.2846	0.0000	0.0000	0.0000	1.3952	0.0000	2.7174	1.2941	0.0344	6.1828	16.0073	20.5922	10.0795	26.0820	18.9164	13.5399	0.0000	0.0000	0.0000	0.6863	0.0000	1.5405	0.6522	1.6215	15.4090	58.9450	21.6325	15.9562	62.7892	61.0665	3.9174	0.0000	0.0000	0.0000	1.3113	0.0000	2.0677	1.1841	0.1944	21.3902	39.7673	39.4111	21.1057	55.9881	45.0209	27.0388	0.0000	0.0000	0.0000	1.3952	0.0000	2.3654	1.1930	0.0000	28.5162	26.1514	11.3303	2.5742	0.1379
