Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct	WR2000N1100EE	WR2000N300EE	WR4000N2100EE	WR4000N300EE
11	500.0000	550.0000	1.1573	0.0000	0.5128	0.4989	0.0663	0.0794	13.5078	6.8520	7.3319	15.1463	15.3694	5.5483	0.8414	4.7116	0.7723	0.0000	0.0000	0.0000	0.0000	0.1153	0.8999	1.3896	9.8368	8.0198	9.9345	8.1393	0.4699	0.8343	4.9017	0.7530	0.0000	0.0000	0.0000	0.0000	0.2603	8.4371	27.2585	12.4689	9.2519	29.9750	28.7858	7.7332	0.8572	4.5420	0.8384	0.0000	0.0000	0.0000	0.0000	0.0000	10.3027	94.4745	24.6212	12.2161	97.6301	95.2610	13.3380	0.8020	3.5505	0.6627	0.0000	0.0000	0.0000	0.0000	0.0000	20.3620	55.9591	23.0564	55.2154	60.5229	78.6140	22.3636	0.8203	5.5196	0.5721	0.0000	0.0000	0.0000	0.0000	0.0000	50.6883	8.2054	4.7684	1.6354	0.0501
12	550.0000	600.0000	1.0093	0.0000	0.3569	0.5594	0.0946	-0.0016	16.5518	5.2793	13.6884	17.3734	21.4787	1.9067	0.8319	4.5586	0.6632	0.0000	0.0000	0.0000	0.0000	0.0443	12.7639	1.5756	8.7460	7.6943	8.8868	7.8539	0.4672	0.8337	4.9315	0.7458	0.0000	0.0000	0.0000	0.0000	0.1252	7.1196	26.0638	6.0222	26.6794	26.7505	37.2976	6.4086	0.8486	4.0449	0.6330	0.0000	0.0000	0.0000	0.0000	0.0000	25.5735	59.1909	7.2039	10.6636	59.6277	60.1438	3.5478	0.8349	6.5168	0.6628	0.0000	0.0000	0.0000	0.0000	0.0000	7.7641	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.6431	2.8784	1.3675	0.0400
13	600.0000	650.0000	0.3650	0.0000	0.2458	0.0376	0.0440	0.0375	11.2189	30.0586	6.3794	32.0840	12.9058	2.9906	0.8348	4.7887	0.7272	0.0000	0.0000	0.0000	0.0000	0.0715	29.5028	1.5983	9.0144	6.7950	9.1550	6.9804	0.7835	0.8338	4.8566	0.7406	0.0000	0.0000	0.0000	0.0000	0.1062	7.4710	73.0167	265.5406	15.0383	275.3965	74.5493	17.6442	0.7960	4.3971	0.6428	0.0000	0.0000	0.0000	0.0000	0.0000	264.9153	49.0419	19.3361	20.7818	52.7161	53.2634	18.4438	0.9058	5.6808	0.7846	0.0000	0.0000	0.0000	0.0000	0.0000	14.4008	55.9529	4.6615	26.3244	56.1468	61.8361	6.0631	0.7972	3.6878	0.6559	0.0000	0.0000	0.0000	0.0000	0.0000	25.3408	1.8428	2.1246	1.0636	0.0272
14	650.0000	700.0000	0.3846	0.0000	0.1754	0.1199	0.0261	0.0632	21.6355	5.7478	5.7967	22.3860	22.3986	2.7113	0.8345	5.0410	0.6055	0.0000	0.0000	0.0000	0.0000	0.2651	1.2316	1.5746	8.1245	9.6026	8.2757	9.7308	0.2291	0.8346	4.8586	0.7355	0.0000	0.0000	0.0000	0.0000	0.5813	8.2619	50.7696	11.1228	21.0215	51.9737	54.9495	9.8040	0.8395	5.1712	0.3888	0.0000	0.0000	0.0000	0.0000	0.0000	17.9711	68.4763	7.0095	40.2686	68.8341	79.4390	13.7429	0.9037	5.6183	1.2185	0.0000	0.0000	0.0000	0.0000	0.0000	37.4146	85.0808	54.3031	5.0484	100.9335	85.2304	1.3881	0.7962	5.0616	0.4024	0.0000	0.0000	0.0000	0.0000	0.0000	54.0415	0.9029	1.5109	0.8506	0.0228
15	700.0000	750.0000	0.2551	0.0000	0.1294	0.0906	0.0003	0.0348	22.4417	17.1251	18.2671	28.2294	28.9365	6.0119	0.8451	4.2901	0.6213	0.0000	0.0000	0.0000	0.0000	0.2283	16.7000	1.3789	8.6243	8.2363	8.7338	8.3509	0.3699	0.8309	4.9038	0.7316	0.0000	0.0000	0.0000	0.0000	0.4499	6.9858	50.6523	24.6911	21.6295	56.3498	55.0771	21.3776	0.8428	3.1586	0.6633	0.0000	0.0000	0.0000	0.0000	0.0000	23.7785	75.3074	4336.8799	13.9931	4337.5337	76.5964	13.8041	0.9045	2.0288	0.6330	0.0000	0.0000	0.0000	0.0000	0.0000	4336.8726	98.2838	13.8798	99.1651	99.2590	139.6189	12.9263	0.9034	4.9732	0.1007	0.0000	0.0000	0.0000	0.0000	0.0000	98.2685	0.7830	1.0129	0.6159	0.0213
16	750.0000	800.0000	0.2208	0.0000	0.0943	0.0651	0.0003	0.0610	25.8456	11.6641	21.1879	28.3557	33.4204	6.6340	0.8359	5.1900	0.5818	0.0000	0.0000	0.0000	0.0000	0.0556	19.4585	1.3815	8.3695	8.8313	8.4827	8.9387	0.1974	0.8303	4.8297	0.7213	0.0000	0.0000	0.0000	0.0000	0.1301	7.3941	58.9744	8.9747	38.3452	59.6533	70.3444	10.8947	0.8219	4.5144	0.5551	0.0000	0.0000	0.0000	0.0000	0.0000	36.4819	69.8334	5.6726	12.8579	70.0634	71.0073	8.1651	0.9675	5.4448	1.2640	0.0000	0.0000	0.0000	0.0000	0.1714	8.2339	69.1069	43.9031	44.0213	81.8734	81.9368	15.6263	0.8591	6.4665	0.3914	0.0000	0.0000	0.0000	0.0000	0.0000	41.8793	0.4745	0.6330	0.4316	0.0086
17	800.0000	850.0000	0.1069	0.0000	0.0679	0.0000	0.0142	0.0247	26.5318	39.8973	22.0112	47.9138	34.4736	5.9303	0.8715	5.3123	0.7354	0.0000	0.0000	0.0000	0.0000	0.0867	39.5089	1.3009	10.4017	7.5415	10.4827	7.6529	0.2635	0.8302	4.8914	0.7211	0.0000	0.0000	0.0000	0.0000	0.1364	9.1089	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	97.5531	47.3628	98.3505	108.4428	138.5259	6.8460	1.0106	3.0751	1.9105	0.0000	0.0000	0.0000	0.0000	0.0035	98.0414	100.0000	106.4195	102.7585	146.0312	143.3852	22.4228	0.9053	7.7521	0.1007	0.0000	0.0000	0.0000	0.0000	0.0000	105.8289	0.3588	0.3985	0.3099	0.0095
18	850.0000	900.0000	0.0588	0.0000	0.0519	0.0000	0.0069	0.0000	11.3895	29.2256	12.5691	31.3664	16.9618	1.9215	0.8526	4.5274	0.7496	0.0000	0.0000	0.0000	0.0000	0.3990	28.8062	1.9236	7.8467	8.0075	8.0790	8.2353	0.3803	0.8316	4.9080	0.7287	0.0000	0.0000	0.0000	0.0000	0.4519	6.3083	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	96.2290	201.4734	100.5207	223.2746	139.1562	19.0909	1.0112	1.6560	0.9074	0.0000	0.0000	0.0000	0.0000	0.0000	200.7843	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1469	0.3894	0.1983	0.0091
19	900.0000	950.0000	0.2036	0.0000	0.0394	0.0769	0.0739	0.0134	46.2743	4.4405	41.7049	46.4869	62.2946	6.1471	0.9114	4.0767	0.6927	0.0000	0.0000	0.0000	0.0000	0.0756	41.0408	2.2571	9.9485	9.9015	10.2013	10.1555	0.8516	0.8300	4.9478	0.7383	0.0000	0.0000	0.0000	0.0000	0.3908	8.5613	74.6476	5.8240	100.3562	74.8744	125.0745	6.2482	0.8691	5.5960	1.3597	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	99.9958	15.1193	14.4787	101.1323	101.0385	14.3370	1.0147	1.7573	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6.9562	79.3857	24.2220	80.3705	82.9987	112.9668	26.9470	0.8228	5.5983	0.5517	0.0000	0.0000	0.0000	0.0000	0.0000	75.5155	0.1718	0.3045	0.1189	0.0032
20	950.0000	1000.0000	0.0390	0.0000	0.0290	0.0000	0.0100	0.0000	17.8286	217.6096	21.5581	218.3387	27.9752	11.8860	0.8210	4.3428	0.6794	0.0000	0.0000	0.0000	0.0000	0.7600	217.2374	1.7897	10.3992	9.8349	10.5521	9.9964	0.7275	0.8292	4.7639	0.7226	0.0000	0.0000	0.0000	0.0000	0.8702	9.1078	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	69.4275	47.9399	61.4730	84.3707	92.7313	47.8265	0.7971	3.1196	0.5538	0.0000	0.0000	0.0000	0.0000	0.4398	51.0188	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1110	0.1533	0.0696	0.0048
