Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct	WR2000N1100MM	WR2000N300MM	WR4000N2100MM	WR4000N300MM
2	50.0000	100.0000	462.2421	0.0000	34.7006	389.1084	12.4323	26.0008	0.9283	5.2191	4.9206	5.3010	5.0073	0.2046	0.0000	0.0000	0.0000	0.3793	0.0000	0.8789	0.4044	0.1734	5.1076	1.9772	6.1148	5.2313	6.4265	5.5925	0.3223	0.0000	0.0000	0.0000	0.7438	0.0000	1.4485	0.7156	0.5824	5.8213	1.0436	5.1216	5.0000	5.2268	5.1077	0.2541	0.0000	0.0000	0.0000	0.3302	0.0000	0.8055	0.3623	0.1549	5.0252	6.5345	4.3480	1.8867	7.8488	6.8014	1.0845	0.0000	0.0000	0.0000	0.4180	0.0000	0.8822	0.4617	0.9439	3.9588	3.4218	6.1287	5.1416	7.0192	6.1762	0.3578	0.0000	0.0000	0.0000	0.6091	0.0000	1.2141	0.5910	0.2637	5.9362	104.8355	491.3621	0.4217	2.9283
3	100.0000	150.0000	508.1179	0.0000	79.1988	394.4662	7.5499	26.9030	0.8721	5.4230	5.1718	5.4927	5.2448	0.3966	0.0000	0.0000	0.0000	0.3797	0.0000	1.0526	0.3979	0.0968	5.2756	1.4123	6.3178	6.4958	6.4737	6.6475	0.9714	0.0000	0.0000	0.0000	0.6131	0.0000	1.4059	0.5946	0.1960	6.2071	1.0523	5.2028	4.9743	5.3081	5.0843	0.3549	0.0000	0.0000	0.0000	0.3169	0.0000	0.9584	0.3446	0.1383	5.0780	8.7345	7.3059	3.1615	11.3872	9.2890	1.4649	0.0000	0.0000	0.0000	0.4398	0.0000	1.1216	0.4596	0.7154	7.0040	3.1531	5.6613	4.9621	6.4801	5.8792	0.4098	0.0000	0.0000	0.0000	0.5963	0.0000	1.3746	0.5842	0.1325	5.4109	237.8179	490.1540	0.8881	3.0319
4	150.0000	200.0000	368.8660	0.0000	102.4290	240.2915	3.0601	23.0854	0.9605	5.1950	5.9804	5.2830	6.0571	0.1035	0.0000	0.0000	0.0000	0.4108	0.0000	1.1557	0.4236	0.2199	5.8350	1.2468	6.4187	7.0151	6.5386	7.1251	0.3475	0.0000	0.0000	0.0000	0.5553	0.0000	1.3878	0.5361	0.2789	6.8203	1.3299	4.7123	5.4809	4.8963	5.6399	0.1367	0.0000	0.0000	0.0000	0.3339	0.0000	1.0321	0.3629	0.2050	5.3572	13.4005	4.4819	6.1091	14.1302	14.7274	2.5595	0.0000	0.0000	0.0000	0.4855	0.0000	1.2744	0.4761	1.9514	5.9376	3.1863	5.1261	6.6730	6.0357	7.3947	0.3976	0.0000	0.0000	0.0000	0.5594	0.0000	1.3967	0.5487	0.7813	6.4233	342.0574	425.9637	1.3181	2.5878
5	200.0000	250.0000	209.2501	0.0000	84.3887	108.2921	1.1690	15.4004	1.2060	6.0003	5.3441	6.1203	5.4785	0.2599	0.0000	0.0000	0.0000	0.5893	0.0000	1.4630	0.5647	0.2035	5.7568	1.4007	7.3544	7.0058	7.4866	7.1445	0.4193	0.0000	0.0000	0.0000	0.7061	0.0000	1.6434	0.6494	0.3190	7.0910	1.9807	4.6971	3.8515	5.0976	4.3310	0.0613	0.0000	0.0000	0.0000	0.4840	0.0000	1.3001	0.4863	0.1321	4.4592	20.4307	14.4004	18.5898	24.9957	27.6223	8.4194	0.0000	0.0000	0.0000	1.0450	0.0000	2.1120	0.9643	6.5646	15.0079	3.6332	7.3160	6.0873	8.1685	7.0891	0.1873	0.0000	0.0000	0.0000	0.6553	0.0000	1.5706	0.6215	0.4197	7.0757	384.5456	360.3791	1.6596	2.1200
6	250.0000	300.0000	104.2585	0.0000	54.3704	39.4385	0.6560	9.7937	1.6408	5.9156	5.6305	6.1390	5.8647	0.5852	0.0000	0.0000	0.0000	0.7211	0.0000	1.7004	0.6921	0.0204	5.5508	1.7549	7.0633	7.3252	7.2780	7.5324	0.9462	0.0000	0.0000	0.0000	0.7988	0.0000	1.8416	0.7548	0.1528	6.9432	3.3972	4.4537	3.3820	5.6015	4.7937	0.5763	0.0000	0.0000	0.0000	0.5580	0.0000	1.4124	0.5560	0.2865	4.0995	30.9685	7.6130	8.7366	31.8906	32.1773	7.9645	0.0000	0.0000	0.0000	1.4812	0.0000	2.9500	1.4721	0.0262	4.1073	4.3295	5.7938	6.0792	7.2328	7.4633	0.5825	0.0000	0.0000	0.0000	0.8954	0.0000	1.9919	0.8401	0.2775	5.6111	397.1746	311.8136	2.0089	1.7224
7	300.0000	350.0000	48.5499	0.0000	28.8708	14.5263	0.2109	4.9420	2.2348	6.3166	5.6419	6.7003	6.0684	0.6200	0.0000	0.0000	0.0000	1.0017	0.0000	2.1631	0.9470	0.4057	5.7247	2.3626	6.9285	6.4542	7.3203	6.8730	0.6470	0.0000	0.0000	0.0000	1.0705	0.0000	2.2751	0.9987	0.1903	6.3427	5.4047	4.7131	3.5759	7.1711	6.4805	0.4644	0.0000	0.0000	0.0000	0.8443	0.0000	1.9073	0.8265	0.6466	4.0857	39.2463	11.9276	13.1656	41.0188	41.3957	12.8325	0.0000	0.0000	0.0000	1.3166	0.0000	2.3620	1.2041	0.0000	0.0000	6.0283	7.7900	7.6101	9.8501	9.7085	1.9313	0.0000	0.0000	0.0000	1.0492	0.0000	2.2527	0.9878	0.9730	7.1755	360.7005	261.9018	2.2016	1.3507
8	350.0000	400.0000	24.7092	0.0000	15.9721	5.6219	0.1845	2.9307	3.0750	6.3202	7.8789	7.0285	8.4577	1.1534	0.0000	0.0000	0.0000	1.4528	0.0000	2.8772	1.3591	0.2021	6.9934	3.1316	7.3830	9.0615	8.0197	9.5874	0.2133	0.0000	0.0000	0.0000	1.5143	0.0000	2.9861	1.4256	0.3900	8.2998	9.2112	5.8991	5.9399	10.9383	10.9603	4.5334	0.0000	0.0000	0.0000	1.1634	0.0000	2.3990	1.0764	0.3097	3.7995	53.7662	4.4905	7.7686	53.9534	54.3245	6.4336	0.0000	0.0000	0.0000	1.6707	0.0000	3.7205	1.6336	0.0000	0.0005	7.5626	5.9114	7.9347	9.5988	10.9614	2.5978	0.0000	0.0000	0.0000	1.6595	0.0000	3.1474	1.5214	0.1259	6.4403	298.2137	217.7419	2.3485	1.1205
9	400.0000	450.0000	12.6296	0.0000	9.2915	1.6337	0.0593	1.6451	3.9510	6.3182	9.3947	7.4518	10.1917	0.7073	0.0000	0.0000	0.0000	2.3190	0.0000	4.1585	2.1336	0.4291	7.8116	4.2141	6.8972	10.2090	8.0826	11.0445	2.3958	0.0000	0.0000	0.0000	2.3765	0.0000	4.2465	2.1874	0.5833	8.3964	15.9524	10.3996	11.8942	19.0429	19.8985	9.3018	0.0000	0.0000	0.0000	2.0760	0.0000	3.6894	1.9252	0.0000	7.3953	46.1634	8.6346	14.3498	46.9640	48.3423	12.6996	0.0000	0.0000	0.0000	2.5152	0.0000	4.7539	2.3432	0.0000	3.2838	9.9910	7.7247	7.2643	12.6289	12.3527	1.9346	0.0000	0.0000	0.0000	2.2285	0.0000	4.1061	2.0293	1.4592	5.2777	239.1407	184.6990	2.4010	0.9302
10	450.0000	500.0000	7.3545	0.0000	5.4929	0.8098	0.0005	1.0514	5.0843	11.8122	11.1549	12.8599	12.2589	0.3713	0.0000	0.0000	0.0000	4.7941	0.0000	8.2430	4.3669	0.6811	5.3908	5.4185	11.8138	12.0643	12.9972	13.2252	0.2197	0.0000	0.0000	0.0000	4.7983	0.0000	8.3088	4.3838	0.6850	6.4998	22.5613	9.4157	9.2750	24.4473	24.3934	3.1159	0.0000	0.0000	0.0000	4.2314	0.0000	7.0017	3.7475	0.0000	2.3802	40.1446	7.2923	9.5569	40.8015	41.2664	6.8165	0.0000	0.0000	0.0000	3.0714	0.0000	5.5232	2.6603	0.0000	0.0000	12.7106	14.8249	10.9754	19.5278	16.7934	1.1104	0.0000	0.0000	0.0000	5.2060	0.0000	8.8563	4.7568	1.1855	9.4498	199.6063	152.7919	2.4349	0.7746
11	500.0000	550.0000	4.3096	0.0000	3.3255	0.2906	0.0146	0.6789	6.6202	12.5320	13.1218	14.1732	14.6972	2.8427	0.0000	0.0000	0.0000	5.0177	0.0000	8.4485	4.5081	1.1000	7.8040	7.1964	12.8381	13.4234	14.7176	15.2307	4.5348	0.0000	0.0000	0.0000	4.9294	0.0000	8.3537	4.4529	1.2092	8.3141	37.8011	18.3493	17.5069	42.0193	41.6583	5.5391	0.0000	0.0000	0.0000	4.8738	0.0000	8.0318	4.1162	0.0000	15.1074	80.8351	34.0852	32.6245	87.7275	87.1704	20.4826	0.0000	0.0000	0.0000	15.0607	0.0000	20.1201	11.9270	0.0000	0.0000	16.0805	11.6385	11.4760	19.8504	19.7555	1.3575	0.0000	0.0000	0.0000	5.2970	0.0000	8.8409	4.7869	1.0591	3.1029	162.3094	124.4871	2.4132	0.6086
