Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct	WR2000N1100EE	WR2000N300EE	WR4000N2100EE	WR4000N300EE
1	0.0000	50.0000	104.1644	0.0000	18.5874	80.1858	1.9123	3.4790	1.9592	9.1342	9.9561	9.3420	10.1471	0.4913	0.8566	5.6117	0.7986	0.0000	0.0000	0.0000	0.0000	0.4354	8.2394	3.3368	13.1857	14.2967	13.6013	14.6810	0.6694	0.8581	5.8723	0.8444	0.0000	0.0000	0.0000	0.0000	1.0648	13.0034	2.3509	8.2545	9.0128	8.5827	9.3144	0.4250	0.8548	5.5287	0.7827	0.0000	0.0000	0.0000	0.0000	0.5892	7.1372	20.7586	11.2108	13.0052	23.5924	24.4960	7.4088	0.9068	6.9467	0.8452	0.0000	0.0000	0.0000	0.0000	0.0000	8.7879	7.5480	11.4828	10.0424	13.7414	12.5627	4.4177	0.8639	5.3995	0.8968	0.0000	0.0000	0.0000	0.0000	1.9423	9.0351	18.6717	12.6124	0.0583	0.0822
2	50.0000	100.0000	264.9618	0.0000	43.2822	204.8622	5.8055	11.0118	1.2323	9.0140	8.7379	9.0978	8.8243	0.6122	0.8587	5.4417	0.8185	0.0000	0.0000	0.0000	0.0000	0.3322	7.0712	2.1717	12.8630	13.1119	13.0451	13.2905	1.3036	0.8563	5.7824	0.8563	0.0000	0.0000	0.0000	0.0000	0.9252	11.6864	1.4706	8.1196	7.7206	8.2517	7.8594	0.5333	0.8576	5.3281	0.8070	0.0000	0.0000	0.0000	0.0000	0.2085	6.0043	11.6766	12.8046	12.8436	17.3292	17.3580	4.0776	0.9141	6.4299	0.8430	0.0000	0.0000	0.0000	0.0000	0.0000	10.8911	4.4599	10.1613	10.7968	11.0970	11.6817	1.2867	0.8596	5.6936	0.8701	0.0000	0.0000	0.0000	0.0000	0.9969	9.1203	56.3763	45.4388	0.1602	0.2528
3	100.0000	150.0000	271.6118	0.0000	55.5147	194.8138	6.3532	14.9301	1.2070	8.3470	8.1279	8.4338	8.2171	0.3285	0.8560	5.1385	0.8330	0.0000	0.0000	0.0000	0.0000	0.2829	6.4600	1.9126	11.4768	11.0075	11.6350	11.1725	1.3278	0.8497	5.5424	0.8354	0.0000	0.0000	0.0000	0.0000	0.4612	9.9293	1.5062	7.4572	7.1886	7.6078	7.3447	0.0610	0.8554	4.9787	0.8208	0.0000	0.0000	0.0000	0.0000	0.1571	5.4217	12.9729	7.1744	9.0118	14.8246	15.7958	1.2462	0.9118	5.7418	1.0407	0.0000	0.0000	0.0000	0.0000	1.4084	6.8171	3.8559	10.0374	10.5398	10.7526	11.2230	1.3053	0.8632	5.4655	0.8955	0.0000	0.0000	0.0000	0.0000	1.0678	8.9231	90.8249	80.8591	0.2626	0.5081
4	150.0000	200.0000	197.2139	0.0000	53.7725	122.3435	5.8130	15.2849	1.3481	6.8106	6.9691	6.9428	7.0983	0.4127	0.8512	5.0275	0.8180	0.0000	0.0000	0.0000	0.0000	0.1316	4.7958	1.9099	8.6009	8.8999	8.8104	9.1026	1.2064	0.8463	5.2365	0.8375	0.0000	0.0000	0.0000	0.0000	0.1082	7.0995	1.8698	6.2038	6.2304	6.4795	6.5049	0.2579	0.8502	4.8773	0.7996	0.0000	0.0000	0.0000	0.0000	0.1291	3.8395	11.4243	6.3163	5.4933	13.0541	12.6764	2.9664	0.9140	5.3373	1.0301	0.0000	0.0000	0.0000	0.0000	0.0000	1.0741	3.8111	6.9085	7.8741	7.8900	8.7479	0.1942	0.8526	5.3763	0.8153	0.0000	0.0000	0.0000	0.0000	0.3499	5.7604	121.1156	118.2266	0.3716	0.6729
5	200.0000	250.0000	137.7499	0.0000	42.4747	76.3584	5.1241	13.7928	1.5767	6.5486	6.6353	6.7358	6.8201	0.6572	0.8484	5.1007	0.8080	0.0000	0.0000	0.0000	0.0000	0.2209	4.2351	2.1017	7.5614	8.1685	7.8481	8.4345	0.9489	0.8433	5.2720	0.8158	0.0000	0.0000	0.0000	0.0000	0.3638	6.1745	2.3598	5.9911	6.0672	6.4391	6.5100	0.5670	0.8457	4.9179	0.7712	0.0000	0.0000	0.0000	0.0000	0.2202	3.5395	11.6662	7.6496	6.3659	13.9505	13.2900	3.0560	0.9161	6.2229	1.2672	0.0000	0.0000	0.0000	0.0000	0.0440	2.8296	4.0776	7.1260	6.7035	8.2102	7.8462	2.7326	0.8542	5.1684	0.8175	0.0000	0.0000	0.0000	0.0000	0.8102	4.1204	150.6046	152.2910	0.4921	0.8005
6	250.0000	300.0000	89.5460	0.0000	34.2750	41.9726	3.3617	9.9367	1.8766	5.6792	5.9261	5.9812	6.2162	0.6198	0.8451	4.9171	0.7811	0.0000	0.0000	0.0000	0.0000	0.1293	3.2334	2.3109	6.5444	7.0807	6.9404	7.4483	1.0292	0.8451	5.1913	0.7898	0.0000	0.0000	0.0000	0.0000	0.3072	4.7087	3.1584	5.0289	5.1958	5.9385	6.0805	0.3321	0.8386	4.5857	0.7374	0.0000	0.0000	0.0000	0.0000	0.1800	2.3703	13.6841	8.4405	9.5631	16.0778	16.6945	7.0936	0.8992	6.3046	1.1175	0.0000	0.0000	0.0000	0.0000	1.1982	0.6024	4.8006	5.8494	5.6765	7.5671	7.4342	1.0531	0.8545	4.9019	0.8224	0.0000	0.0000	0.0000	0.0000	0.1039	2.7679	173.2527	170.3317	0.5791	0.8418
7	300.0000	350.0000	54.4938	0.0000	23.9374	22.2700	1.8431	6.4433	2.1759	5.8595	5.7110	6.2505	6.1115	1.3839	0.8394	5.0454	0.7584	0.0000	0.0000	0.0000	0.0000	0.0693	2.3833	2.3457	6.1711	6.0123	6.6019	6.4537	1.4000	0.8402	5.2152	0.7933	0.0000	0.0000	0.0000	0.0000	0.0544	2.8053	4.0975	5.3005	5.1624	6.6996	6.5909	1.1731	0.8340	4.7034	0.6937	0.0000	0.0000	0.0000	0.0000	0.2817	1.8549	17.5775	8.4762	8.6746	19.5145	19.6014	4.6892	0.8890	7.4904	0.9421	0.0000	0.0000	0.0000	0.0000	0.0000	2.9342	6.0702	6.0130	6.1954	8.5442	8.6735	2.3935	0.8413	4.8978	0.8001	0.0000	0.0000	0.0000	0.0000	0.4187	2.8878	191.4168	180.7424	0.6726	0.8014
8	350.0000	400.0000	36.3402	0.0000	16.2363	14.0023	1.4360	4.6656	2.4564	5.2509	5.0796	5.7970	5.6423	1.2398	0.8382	4.7054	0.7449	0.0000	0.0000	0.0000	0.0000	0.2786	1.8764	2.1076	5.6189	5.5451	6.0012	5.9321	0.4707	0.8407	4.8924	0.7629	0.0000	0.0000	0.0000	0.0000	0.1261	2.5799	5.0914	5.1633	4.6004	7.2513	6.8619	2.3140	0.8318	4.3335	0.7010	0.0000	0.0000	0.0000	0.0000	0.7331	1.4404	19.0897	6.8889	7.8090	20.2947	20.6252	5.2676	0.8651	5.8326	0.9285	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6.6523	5.7718	5.6485	8.8072	8.7269	2.6952	0.8401	4.8243	0.7574	0.0000	0.0000	0.0000	0.0000	0.5032	1.3144	199.5050	188.3306	0.7680	0.7934
9	400.0000	450.0000	24.3292	0.0000	11.6393	8.5448	0.8278	3.3174	2.7776	5.2699	5.5238	5.9571	6.1828	0.0589	0.8363	4.8951	0.7186	0.0000	0.0000	0.0000	0.0000	0.1165	2.5768	1.3935	5.5767	5.7839	5.7482	5.9494	0.1305	0.8352	4.9276	0.7338	0.0000	0.0000	0.0000	0.0000	0.0521	3.0400	6.5695	4.8947	4.8174	8.1925	8.1465	0.7060	0.8297	4.6580	0.6341	0.0000	0.0000	0.0000	0.0000	0.1121	1.1285	23.9747	12.3266	10.2781	26.9580	26.0850	10.5702	0.9006	6.1386	1.2836	0.0000	0.0000	0.0000	0.0000	0.0000	5.4803	8.3031	6.3674	7.6714	10.4636	11.3046	4.1322	0.8408	5.0818	0.7420	0.0000	0.0000	0.0000	0.0000	0.7838	3.9575	201.4600	182.5020	0.8403	0.6994
10	450.0000	500.0000	15.2751	0.0000	8.2112	4.3593	0.4357	2.2689	3.2408	4.9120	5.0066	5.8848	5.9640	0.4347	0.8336	4.5879	0.6826	0.0000	0.0000	0.0000	0.0000	0.2191	1.9450	1.2097	5.6159	5.5398	5.7447	5.6703	0.7640	0.8330	4.9266	0.7232	0.0000	0.0000	0.0000	0.0000	0.1916	2.4236	8.8452	4.9566	4.3638	10.1393	9.8631	2.3850	0.8253	4.2199	0.6252	0.0000	0.0000	0.0000	0.0000	0.0000	0.7042	34.7791	5.7962	8.4767	35.2588	35.7972	7.3228	0.8632	4.2251	0.5539	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	11.1103	4.5199	5.9364	11.9945	12.5968	2.7169	0.8461	4.1387	0.6709	0.0000	0.0000	0.0000	0.0000	1.2577	2.9703	197.7467	173.6801	0.9287	0.6417
